################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-01 - Children's Service - Childrens.txt
Video ID: OapoAGGMau4
Segments: 518
URL: https://www.youtube.com/watch?v=OapoAGGMau4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[1:09] ah
[1:17] ah
[1:18] ah
[1:27] ah
[1:28] [Música]
[1:37] i
[1:47] ah
[1:53] e
[1:58] él
[2:01] [Música]
[2:09] y
[2:20] ah
[2:28] i
[2:30] ah
[2:32] y
[2:41] [Música]
[3:15] ah
[3:30] ah
[3:32] a
[3:44] y
[3:56] y
[3:58] [Música]
[4:13] ah
[4:18] [Música]
[4:43] ah
[4:47] [Música]
[4:56] i
[5:04] ah
[5:14] [Música]
[5:31] ah
[5:34] ah
[5:41] a
[5:47] ah
[5:50] ah
[5:55] aquí
[6:01] [Música]
[6:15] ah
[6:21] ah
[6:23] ah
[6:31] [Música]
[7:02] no no
[7:03] ah
[7:16] ah
[7:20] ah
[7:29] ah
[7:31] [Música]
[8:04] no
[8:06] [Música]
[8:08] y
[8:10] [Música]
[8:33] [Aplausos]
[8:36] [Música]
[8:53] ah
[8:54] [Música]
[9:16] [Aplausos]
[9:17] [Música]
[9:22] ah
[9:26] ah
[9:29] [Música]
[9:50] [Aplausos]
[9:52] [Música]
[10:05] y
[10:08] [Música]
[10:12] y
[10:14] [Música]
[10:37] bueno
[10:39] [Música]
[10:45] ah
[10:50] [Música]
[11:18] [Música]
[11:39] ay
[11:41] [Música]
[11:54] cómo
[11:56] ya delegado
[11:59] [Música]
[12:01] soy
[12:04] sí
[12:07] [Música]
[12:35] [Música]
[12:47] cuándo
[12:49] [Aplausos]
[12:53] [Música]
[13:01] [Aplausos]
[13:04] [Música]
[13:10] también
[13:14] [Música]
[13:25] sí
[13:33] o no
[13:37] [Música]
[13:45] hoy quiere vivir jardín son expertos
[13:49] [Música]
[14:00] cómo
[14:01] [Música]
[14:11] a
[14:13] [Música]
[14:36] ella
[14:47] [Música]
[14:54] [Aplausos]
[14:57] [Música]
[15:16] [Música]
[15:30] [Música]
[15:44] [Aplausos]
[15:45] [Música]
[16:11] [Aplausos]
[16:11] [Música]
[16:22] bueno
[16:24] [Aplausos]
[16:26] [Música]
[16:34] [Música]
[16:40] [Música]
[16:54] [Música]
[17:02] [Aplausos]
[17:03] [Música]
[17:07] [Aplausos]
[17:14] [Música]
[17:18] i
[17:28] gratis
[17:31] ya
[17:32] [Música]
[17:33] [Aplausos]
[17:34] [Música]
[17:40] no
[17:42] ah
[17:43] [Música]
[18:03] ah
[18:11] [Música]
[18:22] baby
[18:27] [Música]
[18:52] [Música]
[19:10] [Música]
[19:22] así
[19:24] [Música]
[19:26] d
[19:28] [Música]
[19:39] [Música]
[19:54] [Música]
[20:00] amigos
[20:30] entonces
[20:32] [Música]
[20:38] [Música]
[20:40] esto
[20:43] jaguares
[20:49] [Música]
[20:59] [Aplausos]
[21:00] [Música]
[21:11] y
[21:13] [Música]
[21:16] mira
[21:17] [Música]
[21:30] ah
[21:37] por qué
[21:39] [Música]
[21:45] 2
[21:48] de los
[21:53] [Música]
[22:11] desde los
[22:13] [Música]
[22:15] i
[22:24] [Música]
[22:38] [Aplausos]
[22:45] hoy
[22:47] [Música]
[23:01] 2
[23:10] [Música]
[23:23] ah
[23:25] [Música]
[23:58] acá
[24:01] gloria a dios
[24:04] qué hermoso mirar a los niños alabando
[24:06] al señor verdad
[24:08] vamos a tener una pequeña una pequeña
[24:11] este momento conoce más a ti está
[24:14] hablando un poquito acerca de la nube en
[24:17] sí los niños ya hablaron acerca de la
[24:19] nube en la escuelita dominical ahora y
[24:21] mi esposa les digo que se recordarán de
[24:23] algunas preguntas
[24:25] así que este
[24:29] interpol
[24:32] este
[24:35] y entonces me puede bastar preguntar
[24:39] algunas preguntas no solamente los niños
[24:41] pero también a los padres
[24:45] wow es acerca de la nube está aun the
[24:49] cloud como ustedes saben que yo no ahora
[24:52] es el 28 de febrero y su tonito facebook
[24:54] y es un día que recordamos pues de women
[24:58] porque fue un día que dios mandó una
[25:01] señal una señal sobrenatural así sainz y
[25:06] para todos nosotros roads para todo el
