################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-04 - Revelation 2 Pt 8 Al Que Venciere Pastor Tito Moreira - Tito Moreira.txt
Video ID: 8wTuwtkdlTo
Segments: 1707
URL: https://www.youtube.com/watch?v=8wTuwtkdlTo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:04] y
[0:10] ah
[0:16] y
[0:19] ah
[0:31] más
[0:34] y
[0:37] y
[0:39] y
[0:42] él
[0:47] ah
[1:02] i
[1:06] y
[1:07] ah
[1:09] ah
[1:15] a
[1:24] ah
[1:30] y
[1:33] [Música]
[1:35] i
[1:42] y
[1:45] i
[1:48] ah
[1:51] ah
[2:04] [Música]
[2:13] y
[2:15] a él
[2:19] i
[2:19] [Música]
[2:30] i
[2:37] i
[2:40] ahora
[2:42] ah
[2:48] ah
[2:58] y
[3:00] ah
[3:05] a
[3:10] y
[3:12] ah
[3:22] ah
[3:25] ah
[3:28] ah
[3:30] ah
[3:33] ah
[3:38] y
[3:44] [Música]
[3:45] a
[3:58] no
[4:01] él
[4:03] ah
[4:16] ah
[4:23] a
[4:29] ah
[4:32] él
[4:33] [Música]
[4:42] ah
[4:59] ah
[5:08] i
[5:25] ah
[5:32] i
[5:38] [Música]
[5:48] ah
[5:55] a
[5:58] y
[6:03] más
[6:06] [Música]
[6:22] ah
[6:41] ah
[6:42] ah
[6:44] ah
[6:51] i
[6:55] a
[7:02] ah
[7:06] ah
[7:10] [Música]
[7:25] 2
[7:36] ah
[7:40] ah
[7:45] ah
[7:47] ah
[7:52] ah
[7:55] a
[7:57] ah
[8:04] [Música]
[8:22] bueno
[8:25] i
[8:28] ah
[8:32] ah
[8:39] a
[8:44] ah
[8:52] ah
[8:53] y más
[8:56] a
[9:09] [Música]
[9:11] no
[9:16] ah
[9:22] ah
[9:24] ah
[9:28] ah
[9:29] ah
[9:32] ah
[9:33] a
[9:37] ah
[9:39] a
[9:45] ah
[9:47] ah
[9:49] y
[9:52] ah
[9:59] ah
[10:02] ah
[10:09] ah
[10:13] ah
[10:19] [Música]
[10:31] más
[10:33] ah
[10:39] ah
[10:41] y
[10:44] i
[10:51] 1
[11:14] ah
[11:17] i
[11:23] ah
[11:25] ah
[11:28] ah
[11:30] a
[11:37] ah
[11:42] más
[11:51] [Música]
[11:54] ah
[12:00] [Música]
[12:11] ah
[12:33] ah
[12:40] [Música]
[13:12] [Aplausos]
[13:12] [Música]
[13:36] [Aplausos]
[13:38] [Música]
[14:06] [Música]
[14:08] [Aplausos]
[14:10] [Música]
[14:14] [Aplausos]
[14:16] [Música]
[14:21] [Aplausos]
[14:25] [Música]
[15:18] [Aplausos]
[15:18] [Música]
[15:21] i
[15:23] [Música]
[15:42] [Aplausos]
[15:44] [Música]
[15:46] [Aplausos]
[15:46] [Música]
[15:56] a
[15:59] [Música]
[16:05] i
[16:07] [Música]
[16:37] es el pueblo de dios
[16:42] somos su pueblo especie
[16:48] llamadas para anunciar
[16:55] y aquí
[16:59] que nos llamó a su luz una vez más
[17:05] somos el pueblo de jong
[17:10] somos un pueblo especial
[17:16] llamados para anunciar
[17:24] y aquí
[17:27] que no seamos solo
[17:32] y llevaremos historias
[17:38] [Música]
[17:39] pueblo y nación
[17:44] llevando les espera
[17:49] y nuevas de salvación
[17:55] y su amor nos impulsa
[18:02] callar
[18:07] llevaremos
[18:11] de su amor y verdad
[18:17] y llevaremos su gloria
[18:22] a todo pueblo y nación
[18:28] llevándoles esperar
[18:33] y nuevas de salvación
[18:47] callao
[18:56] su amor de verdad
[19:01] somos el pueblo de dios- su sangre en
[19:08] 2000
[19:12] su espíritu yo
[19:24] sí
[19:28] y llevaremos su gloria
[19:34] todo nuevo
[19:39] llevando lentes
[19:45] mueva
[19:46] salvación
[19:50] y su amor
[19:52] 1
[19:55] no sé por qué
[19:57] y allá
[20:01] gritar hemos salvado
[20:06] es un amor y verdad
[20:12] jose el pueblo de dios
[20:17] [Música]
[20:24] su espíritu
[20:30] para darme volver
[20:35] y ser testigo
[20:41] no le da gusto hermanos no le gustó
[20:46] saber que eso sangre nos ha redimido
[20:50] y nos ha dado
[20:57] [Música]
[21:08] lagares everywhere en resumen el agua
[21:13] mismo
[21:15] that is as my big love
[21:21] kershaw feeling y piel
[21:24] dacareth everywhere
[21:28] ah
[21:30] es muy inestable la pista
[21:35] gloria
[21:40] rivas
[21:43] a mí
[21:49] en eso
[21:52] y eso está bueno
[21:55] thaci my big love
[22:00] no no
[22:04] no no no
[22:09] y después
[22:15] m
[22:17] h
[22:25] [Música]
[22:27] en el agua
[22:32] [Música]
[22:34] es mi problema
[22:38] [Música]
[22:40] sí
[22:45] [Música]
[22:47] es movimiento
[22:51] ay
[22:59] o no
[23:04] mejores
[23:07] por esta labor
[23:13] batista
[23:33] thaci
[23:41] m
[23:43] y me
[23:45] las palabras manos
[23:48] están parados más
[23:52] [Música]
[23:56] cuando vinieron las palabras
[23:59] [Música]
[24:11] necesito tu aliento
[24:15] flores
[24:18] y que me pueda llenar
[24:23] quiero levantar
[24:27] mis manos
[24:34] [Música]
[24:46] [Música]
[24:51] que la vida
[24:59] [Música]
[25:00] [Aplausos]
[25:02] [Música]
[25:14] [Música]
[25:18] es igual
[25:24] [Música]
[25:26] ya pues
[25:27] soy yo
[25:29] cantamos
[25:36] con 1
[25:40] vivió
[25:41] [Risas]
[25:50] [Música]
[25:56] soy yo
[25:57] cantar
[26:00] [Música]
[26:04] mutualia
[26:06] un soplo de mí
[26:10] que te pueda llenar
[26:17] levantar mis manos
[26:24] [Música]
[26:28] y
[26:30] [Música]
[26:35] me podría
[26:37] llena
[26:40] [Música]
[26:48] [Música]
[26:54] de amor
[26:57] [Música]
[27:03] de mí
[27:04] y dolor
[27:08] [Música]
[27:20] [Música]
[27:29] 2
[27:31] buen día el director
[27:34] lamentamos este entrando aquí
[27:38] entré y me dice la manualidad se termina
[27:42] más oscuro ahí adentro no le digamos que
[27:46] es que pintaron las paredes tuvo el lema
[27:50] no a rogelio este está pintando no sé si
[27:56] le estuvieron ayudando pero éste pero
[28:00] queremos aquí poner una madera es una
[28:02] cruz y un nombre crowd parking mi esposa
[28:04] tiene unas ideas de de poner un poquito
[28:07] mejor aquí la cosa no vayas medios de
[28:09] makeen tenés wilberger así que te damos
[28:11] gracias a dios por eso tengo vamos a
[28:14] leer apocalipsis capítulo 2 el sur y
[28:16] roble en youtube versículo 7 bears se
[28:19] ven
[28:24] apocalipsis capítulo 27
[28:31] estamos hablando acerca de la edad efe
[28:35] donde estamos llegando al final
[28:40] bien de esta edad los 16 y queremos
[28:44] remarcar algunas cosas watch gorro
[28:48] fittings y este que nos quede claro el
[28:50] tema principal en el gordo de prensa
[28:53] para todos
[28:55] hay muchas cosas que sacamos de aquí
[28:57] 2000 eating seguir adelante pero
[28:59] queremos por lo menos dejar una cosa más
[29:02] claro muy bueno me gustó muchísimo
[29:04] incluir y eso es que tan importante es
[29:06] saber
[29:08] quién está siguiendo en el artículo 7
[29:14] dice él que tiene oído oiga lo que el
[29:15] espíritu dice a las iglesias al que
[29:18] venciera le daré a comer del árbol de la
[29:20] vida el cual está en medio del paraíso
[29:23] de dios y de espíritu
[29:31] vamos a inclinarnos por el padre
[29:33] celestial porque queremos dar gracias
[29:36] señor taylor por tu inmensa bondad
[29:40] por estar aquí señor venir con mis
[29:43] hermanos jonas brothers le pedimos que
[29:46] tu palabra pueda llegar a nuestros
[29:48] corazones y words with war horse y hacer
[29:51] algo en nosotros en atenas no queremos
[29:53] escuchar sólo por escuchar
[29:56] queremos una palabra que nos transforme
[30:01] que nos lleve a ser más como tú señor
[30:04] escribimos la xvii lo ponemos en tus
[30:06] manos
[30:10] pueden tomar su lugar es semanas
[30:12] difíciles programa
[30:15] mandamos muchos saludos a la familia
[30:19] romero están greens derrumbar ofende
[30:24] su hija del manu beto alberto nos llamó
[30:27] en la mañana
[30:30] para avisarnos de que dios se había
[30:31] llevado a los hermanos alberto y
[30:33] humberto trastos
[30:37] y al final me gustaría que pasen nuestro
[30:39] hermano bueno guillermo y pidiendo la
[30:42] prórroga de molucas a hacer un pequeño
[30:46] recordatorio de
[30:49] nuestro hermano el señor
[30:54] y lo que él hizo por el reino unido
[30:58] burgalés kingdom y ahora nos toca a
[31:01] nosotros pelear nuevos enviados to fight
[31:04] y que el día que nos vayamos de aquí
[31:05] entonces debido al dif nos podamos ir
[31:08] satisfechos por lo que hemos hecho y voy
[31:10] a utilizar el firewall
[31:12] yo creo que él se va satisfecho al
[31:14] utilizar esto porque lo dio todo por el
[31:18] reino de dios que sigue el furgón quinto
[31:20] yo sé que dio todo su corazón y sus
[31:24] fuerzas en este al final de huape
[31:26] hermano guillermo que pase vamos vamos a
[31:31] comprar a este entrar un poquito de la
[31:34] edad de efe
[31:37] y me voy a enfocar en este pensamiento
[31:40] al que venciera
[31:47] tenemos tantas cosas que vencer hombre
[31:49] titular la montaña parece demasiado alta
[31:52] veces más ímpetu cristianas pensamos en
[31:55] él
[31:56] por ejemplo hermano beto que dios se los
[32:02] lleva y que pelearon
[32:07] y a veces pensamos en que un día nos
[32:09] vamos a ir de aquí
[32:12] y nos queremos ir como vencedores
[32:15] no queremos irnos derrotados
[32:18] no queremos irnos mediocre
[32:21] no queremos solamente sobrevivir
[32:24] verdad que no hermanos brothers también
[32:28] algunos estamos sobreviviendo aquí
[32:30] pero a veces le decimos señor yo quiero
[32:33] ser un vencedor
[32:36] pero no quiero solamente sobrevivir
[32:38] artãculos del
[32:40] yo quiero contraatacar a una vencerlo en
[32:44] cambio y vencer todas las cosas que a
[32:48] veces sentimos que nos agobian de neuer
[32:50] como o2 tips de textos de cuadros que
[32:52] son difíciles en nuestra vida artística
[32:55] es normal y queremos decir señor yo me
[32:57] quiero de ir de aquí como un vencedor
[33:02] las tentaciones deben ser las cosas en
[33:07] mi vida que me que me atormentan
[33:10] vencer toda esa flojera que a veces
[33:13] tenemos o hacer algo por dios y poder
[33:18] irnos satisfecho en whip de ser
[33:21] sarsfield dice él dice que el que
[33:24] venciera es el siguiente los hombres
[33:26] pero antes de que díaz al que vencieron
[33:28] fuiste sandro por comer él dice el que
[33:31] tiene oídos y se deja tener ahora yo
[33:35] creo que
[33:37] estas dos cosas van mano a mano y
[33:39] distinguen gente yo creo con todo mi
[33:42] corazón todo lo mejor
[33:45] que para poder llegar a ser vencedores
[33:48] primero tenemos que tener oído we have a
[33:52] venir tenemos que saber escuchar we have
[33:54] to know hardware sin diga yo necesito
[33:57] saber escuchar en inglés
[34:01] es más difícil de lo que parece future
[34:05] sims porque a veces oímos muchas cosas
[34:08] que son gansú y germán y teens a veces
[34:10] parece que oímos muchas cosas simples de
[34:13] weezer minitti pero se va por dentro por
[34:15] un oído y se va por el otro lado y como
[34:19] que no la escuchamos en el simpson
[34:22] verdad que a veces así parece
[34:26] parece que dios nos habla y nos habla y
[34:29] nos habla
[34:31] textos pero a veces no estamos
[34:33] escuchando güiri güiri a veces nuestra
[34:37] mente está por otro lado normal del
[34:39] samur audio nos dice los planes que él
[34:41] tiene para nuestra vida sólo pueden ser
[34:44] forma porque él tiene planes para
[34:45] nuestras vidas pues pero él tiene planes
[34:48] para su vida
[34:50] varios tiene planes para esta iglesia
[34:52] nuestro de soluciones planes para
[34:54] nosotros
[34:56] y a veces él nos dice es un tránsito
[34:58] esnat station
[34:59] él nos lo dice orgulloso pero pero
[35:03] nosotros ya tenemos nuestros planes
[35:05] subió about
[35:06] y no escuchamos lo que él nos está
[35:09] diciendo
[35:12] y yo les digo una cosa si usted quiere
[35:17] vencer porque usted tiene que saber
[35:20] escuchar a dios
[35:22] el que tiene oído y dejar ir hoy a lo
[35:25] que el espíritu dice las iglesias y la
[35:29] manera que dios habla a las iglesias
[35:31] huelgas pixies de la manera que dios nos
[35:33] habla muchas veces a las pymes a través
[35:36] de sus hombres destruyes mes a través de
[35:40] los hombres que levantan destrucción
[35:42] méndez y vice eso ahora voy a hablar más
[35:44] de eso
[35:44] más adelante explicó pero dice al que
[35:47] venciera
[35:48] le daré a comer del árbol de la vida
[35:54] en las edades en las que dice la biblia
[35:58] nos habla tres veces acerca del árbol de
[36:01] la vida
[36:03] la primera vez que nos habla acerca del
[36:05] árbol de la vida
[36:07] nos habla en génesis
[36:10] que dios creó todo tipo de árboles
[36:14] pero creo dos árboles en especial los
[36:19] árboles que eran diferente a los demás
[36:22] el uno era el árbol de la ciencia del
[36:25] bien y del mal
[36:27] a lo largo de la vida
[36:31] adán y eva' carmen y enfrente de estos
[36:34] dos árboles o fútbol crisis y les dicen
[36:37] ellos les dicen no coman del árbol de la
[36:40] ciencia del bien
[36:44] ahora nos dice no produjeron usos
[36:48] de diferentes maneras nos explica que
[36:50] que era el árbol de la ciencia del bien
[36:52] y del mal
[36:55] ni siquiera el árbol de la vida en
[37:00] términos sencillos dice eshelman que el
[37:05] árbol de la vida durante su tribu era un
[37:08] hombre joven y él dice que que en unas
[37:12] ocasiones dice él ese árbol de
[37:13] jesucristo
[37:15] existe de tribus si se escoge el árbol
[37:18] de la vida de jesucristo
[37:21] él es el único que puede producir vida
[37:26] pero el árbol de la ciencia del bien y
[37:28] del mal
[37:30] también es una persona eso sólo por ser
[37:34] y entendemos de qué
[37:38] efe de ti antes de que se llamará eva
[37:41] por si busco dif la mujer producto cum
[37:45] en ella tomó del árbol de la ciencia del
[37:48] bien y del mal
[37:50] no no no no comió del árbol de la vida
[37:56] pero comió del árbol de la ciencia del
[37:59] bien y del mal
[38:01] eso es algo sencillo ahora lo que
[38:06] entendemos nosotros explican la edad es
[38:13] qué fue lo que sucedió allá en el
[38:14] principio es world girls in the
[38:16] beginning ese fruto del cual ella tomó
[38:19] dos frutos y por todo no era un fruto
[38:21] literal o snow de rufi que no era como
[38:25] por ejemplo una manzana de bus nou de
[38:26] the world por si no era una pena rocker
