################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-13 - Reconociendo Mi Origen Gustavo Avila & Fidel Avila - Fidel Avila.txt
Video ID: 6EAeI8jO-lU
Segments: 1905
URL: https://www.youtube.com/watch?v=6EAeI8jO-lU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:05] i
[0:10] i
[0:12] ah
[0:23] ahora
[0:24] [Música]
[0:33] no
[0:54] y
[0:57] ah
[0:59] ah
[1:09] más
[1:12] ah
[1:15] i
[1:18] y
[1:20] a
[1:25] ah
[1:44] y
[1:47] ah
[2:04] hola
[2:08] y
[2:11] a
[2:18] ah
[2:21] y
[2:24] a
[2:27] ah
[2:29] ah
[2:34] y
[2:40] [Música]
[2:51] [Música]
[3:08] i
[3:10] a
[3:15] i
[3:20] ah
[3:38] i
[3:40] ah
[3:48] y
[3:58] ah
[4:00] ah
[4:16] y
[4:27] ah
[4:39] i
[4:41] y tal
[4:43] más
[4:44] [Aplausos]
[4:54] ah
[5:02] y
[5:14] o
[5:20] ah
[5:23] no
[5:26] ah
[5:44] ah
[5:50] más
[5:52] i
[6:05] a
[6:10] i
[6:16] [Música]
[6:20] ah
[6:26] ah
[6:28] 2
[6:33] a
[6:41] ah
[6:45] [Música]
[6:55] a
[7:00] no
[7:05] más
[7:08] amor
[7:12] i
[7:15] y tanto
[7:17] a
[7:19] ah
[7:20] ah
[7:31] no
[7:33] no
[7:36] [Música]
[7:44] y
[7:48] ah
[7:55] [Música]
[8:03] [Música]
[8:14] y
[8:18] ah
[8:23] ah
[8:25] ah
[8:30] ah
[8:33] ah
[8:35] ah
[8:37] más
[8:40] [Música]
[9:00] pero
[9:03] i
[9:05] ah
[9:07] ah
[9:17] ah
[9:23] ah
[9:30] ah
[9:31] i
[9:34] a
[9:42] [Música]
[11:25] ah
[11:27] [Música]
[11:29] ah
[11:29] [Música]
[11:48] a
[11:49] [Música]
[12:12] ah
[12:14] [Música]
[12:26] y
[12:27] [Música]
[12:43] [Música]
[12:57] [Música]
[13:01] ah
[13:02] [Música]
[13:02] [Aplausos]
[13:04] [Música]
[13:17] i
[13:21] [Música]
[13:23] [Aplausos]
[13:24] [Música]
[13:34] [Aplausos]
[13:35] [Música]
[13:37] [Aplausos]
[13:37] [Música]
[13:38] i
[13:43] [Música]
[13:57] [Aplausos]
[14:05] [Música]
[14:41] [Aplausos]
[14:41] [Música]
[14:50] i
[14:54] [Música]
[15:15] [Música]
[15:16] [Aplausos]
[15:19] [Música]
[15:38] [Música]
[15:44] [Aplausos]
[15:50] [Aplausos]
[15:52] [Música]
[15:55] a la vez
[15:57] o no
[16:06] [Música]
[16:14] [Música]
[16:23] fue
[16:24] [Aplausos]
[16:25] [Música]
[16:27] s
[16:34] fue
[16:39] tal vez
[16:41] o no
[16:42] [Aplausos]
[16:45] bueno
[16:49] [Música]
[17:02] d
[17:07] [Música]
[17:08] [Aplausos]
[17:09] [Música]
[17:13] hoy se va a llamar
[17:16] [Música]
[17:24] bueno
[17:26] [Música]
[17:36] [Música]
[17:38] ah
[17:43] [Música]
[17:47] usted es el señor
[17:50] [Música]
[17:55] me gustaría sonar
[17:58] y creo que se puede ayudar a cantar este
[18:02] canto
[18:02] [Música]
[18:02] [Aplausos]
[18:05] [Música]
[18:11] [Aplausos]
[18:19] [Música]
[18:23] una vez
[18:24] [Música]
[18:26] me sorprendí
[18:30] [Música]
[18:38] [Aplausos]
[18:40] el sol
[18:42] mi amor
[18:48] mejor que otros
[18:51] todos
[18:56] [Música]
[18:59] el río
[19:01] [Música]
[19:03] [Aplausos]
[19:05] para ti
[19:07] [Música]
[19:11] cs
[19:14] [Música]
[19:24] no después
[19:30] e
[19:32] es así
[19:35] 6
[19:36] [Aplausos]
[19:39] [Música]
[19:48] [Música]
[19:50] sí
[19:53] y
[19:54] [Música]
[19:57] me llamas
[19:59] [Música]
[20:02] [Aplausos]
[20:04] [Música]
[20:08] sí sí
[20:11] el domingo
[20:13] [Aplausos]
[20:14] m
[20:17] entendí
[20:19] aquí
[20:25] y mejor existen miles de hindúes
[20:27] expresión pueden tomarse haciendo vamos
[20:29] a escuchar una especial
[20:33] sí
[20:38] [Música]
[20:49] [Música]
[21:03] que seas mi universo
[21:08] no quiero darte solo rato de mi tiempo
[21:14] [Música]
[21:15] no quiero separarse o día solamente
[21:21] que seas mi universo
[21:24] [Música]
[21:26] quiero darte mis palabras como gotas
[21:34] quiero un diluvio del avanzas en mi bota
[21:40] que sea el universo
[21:44] si deseas todo lo que siento es lo que
[21:49] pienso
[21:52] que seas de primera
[21:55] esto es la mañana
[21:57] y la luz en mi ventana
[22:02] ese universo
[22:03] [Música]
[22:06] y quienes cada uno
[22:09] y mis pensamientos
[22:11] [Aplausos]
[22:11] [Música]
[22:13] que tu presencia y tu puede ser me
[22:18] alimento o jesus es mi deseo
[22:24] en ese universo
[22:28] que quiero darte solo para mí de mis
[22:32] años
[22:36] quiero dueño de mí que voy de mi espacio
[22:42] que seas mi universo
[22:45] [Aplausos]
[22:45] [Música]
[22:46] no quiero ser mi voluntad quiero agradar
[22:52] [Música]
[22:54] y cada sueño que hay en mí quiero
[22:58] entregarte
[23:00] que se hace universo
[23:05] deseas todo lo que siento siempre
[23:12] que seas el primero
[23:15] esto en la mañana y la luz en mi ventana
[23:22] a que seas mi universo
[23:27] bien es cada uno de mis pensamientos
[23:32] 2
[23:34] que tu presencia y tu poder se me
[23:38] alimento jesús es mi deseo
[23:44] deseas mi universo que seas mi universo
[23:52] y que seas mi universo
[23:57] [Música]
[24:00] es mi universo
[24:02] [Música]
[24:06] [Aplausos]
[24:08] [Música]
[24:25] ahora vamos adelante
[24:30] es la palabra de dios
[24:32] no digas que me diste a luis michel
[24:34] sitio web y secuencias de bien para
[24:36] recibir la palabra
[24:37] [Música]
[24:38] donde está realizando la ofrenda de los
[24:41] diezmos
[24:42] [Música]
[24:45] [Aplausos]
[24:47] [Música]
[25:17] [Aplausos]
[25:18] [Música]
[25:34] en mí
[25:42] hola
[25:45] [Música]
[25:57] corazón
[26:04] [Música]
[26:11] al cielo
[26:13] [Música]
[26:19] me voy
[26:22] verdad
[26:25] [Música]
[26:28] d
[26:36] [Música]
[26:37] en mí
[26:45] tú eres
[26:47] los hermosos de tu mano
[26:54] [Música]
[26:55] después
[26:57] no sé
[26:58] [Música]
[27:01] de la lista
[27:06] dónde
[27:08] [Música]
[27:15] no es la ropa
[27:18] [Música]
[27:19] gracias
[27:22] [Música]
[27:24] una vez perdí
[27:28] e
[27:31] veamos
[27:33] [Música]
[27:39] pues
[27:41] [Música]
[27:51] después
[27:56] [Música]
[28:04] [Música]
[28:13] [Música]
[28:14] bueno
[28:17] a mí
[28:22] igual
[28:24] pues
[28:29] esto es eso
[28:32] [Música]
[28:33] la macro disco
[28:37] [Música]
[28:43] [Música]
[28:50] guárdala
[28:53] 2
[28:54] no
[28:56] [Música]
[28:58] vaina
[29:01] 8
[29:05] [Música]
[29:16] [Música]
[29:22] 29
[29:27] mitchell
[29:33] fin
[29:39] [Música]
[29:39] [Aplausos]
[29:47] ayuda
[29:52] me muero
[29:55] e
[29:56] [Música]
[30:04] [Música]
[30:06] escribe
[30:08] venga
[30:14] y
[30:16] pero
[30:18] a mí
[30:21] [Música]
[30:31] el sonido
[30:35] luego macro king jr
[30:40] [Música]
[30:45] un aplauso
[30:52] y entonces están contentos
[30:57] dice el canto dios con nosotros quién
[31:02] contra nosotros no
[31:05] porque dios está con sus hijos para ser
[31:08] asistida de nuestros medios en esta
[31:10] noche triste que cerca por el momento
[31:13] más lo siento por un momento la lazio
[31:15] grand place tan guapo que se pone de pie
[31:17] en un en un momento bueno y descripción
[31:20] cuando leamos la escritura
[31:22] amén
[31:28] se miran muy hermosos en esta noche de
[31:31] todos los jóvenes
[31:35] demasiado
[31:39] y son muy especiales son muy especiales
[31:49] antes de entrar a mi predicación en esta
[31:52] noche
[31:54] me gustaría agradecer el ministerio
[31:58] con renovables el ministerio de moreno
[32:01] valley
[32:04] ferrer el pastor del local y por la
[32:09] hospitalidad y el cuidado que nos ha
[32:15] mostrado y nuestro pastor que tuvo en su
[32:21] corazón
[32:26] de ir para allá y tiene compañerismo
[32:28] comparte la novia que está ya a este
[32:31] nivel o anda posee un resumen breve del
[32:36] viaje
[32:43] como muchos fuimos expectativa esperando
[32:47] algo de parte de dios y yo creo que si
[32:50] reciben algo
[32:54] yo recibí un poco más de lo que esperaba
[32:59] layout viviendo a los jóvenes como
[33:02] apoyaban y no sabe practicar el rap como
[33:05] se respaldaban el uno al otro
[33:08] y tomar un control de las cosas
[33:13] dios les bendiga por eso
[33:16] pax ordena expected pero como dije a
[33:21] recibir más de lo que esperaba recibir
[33:23] al manga a winner lo van a dejar lift el
[33:26] lunes cuando todo se haya y habían
[33:28] regresado
[33:30] a lo previsto
[33:35] el privilegio fuimos a la playa
[33:38] el domingo por la noche y estamos de
[33:44] regreso a la casa del hermano josué
[33:50] perdón
[33:54] y tuve el privilegio de con un joven de
[33:58] neymar vidal y que se llamaba vidal en
[34:02] el extranjero
[34:06] name de nombre
[34:12] vidal pero estaba con este joven que se
[34:14] llamaba vidal está que trina
[34:18] comenzamos a conocer los conocemos el
[34:20] uno al otro a ser leve manchester
[34:22] comparte un poco de mi testimonio en
[34:24] hits de mí y él compartió un poco de él
[34:27] de él
[34:29] y escuchándolo
[34:33] y si ustedes algún día tienen la
[34:35] habilidad seguir más de escucharlo a él
[34:39] el emotivo que que lo haga tener
[34:43] realmente un jovencito inmensa como yo
[34:47] bats pero esa es modern west aprender
[34:52] que esta gente que su madre era era
[34:55] pentecostal administradores café y su
[34:58] padre era católico en este martes el
[35:01] instructor de ellos nunca los empujaban
[35:03] a ir a la iglesia
[35:06] porque no supieron a cual iglesia y
[35:09] llevarlos
[35:11] pero al siempre había algo en el dolor
[35:16] que él anhelaba las cosas de dios y mi
[35:18] hermana esperando una respuesta aún
[35:20] cuando sus padres no lo empujaban para
[35:22] hacerlo en shorts y para hacer la
[35:25] historia corta el fruto de josé chávez
[35:27] por medio del hermano justicia ver sin
[35:29] bynum
[35:30] hay que ir invitando lo sus pesos
[35:32] servicios en san josé a unos servicios
[35:33] especiales en san josé california that
[35:36] were dolor
[35:38] y ahí es donde se va a manifestar en su
[35:42] vida
[35:44] escuchando el testimonio de lo que él
[35:47] pasó ese viaje el moreno valley
[35:55] más preciosa
[35:59] yo realmente creo que hice una amistad
[36:03] una amistad que va para largo con este
[36:07] joven en oro
[36:11] entre más podamos salir
[36:16] con nuestra iglesia y los jóvenes que
[36:21] podamos crear amistades así que conectar
[36:33] muchas veces nos olvida por otra parte
[36:38] hay otra parte de la novia afuera el
[36:39] round
[36:40] alrededor del mundo
[36:45] en fin
[36:51] entonces digo al ministerio
[36:57] mucho más y todos los amamos
[37:01] y les bendiga
[37:05] en esta noche mi tío fidel a mi tío
[37:08] fidel yo saber defender mi hermano fidel
[37:15] fuimos escogidos para compartir la
[37:17] palabra de dios en esta noche
[37:24] pero yo creo que sea efectiva
[37:28] como título le pusimos huracán y sin
[37:31] mayor rating a reconociendo tu origen
[37:35] conociendo nuestro origen
[37:38] y quería compartir algo todo lo que a la
[37:42] iglesia local
[37:44] los jóvenes también estero
[37:46] lo dije dios tiene cuidado de usted
[37:51] puede liberar de liniers
[37:54] dios es verdaderamente tiene cuidado de
[37:56] usted que haces es entre spears porque
[37:59] en la primera de pedrosa capítulo 5
[38:03] versículo 7 kers dice chando todas
[38:05] nuestras ansiedades ángel sobre el
[38:09] cuidado de vosotros es a place y muchas
[38:13] veces la iglesia es un lugar refri gates
[38:15] se nos olvida ss place es un lugar donde
[38:20] somos alimentados con comida física
[38:24] jurídica hay comida que no podemos
[38:27] recibir allá afuera
[38:29] pero humana desde el cielo
[38:33] y necesitamos que venir aquí y reconocer
[38:39] que podemos echar nuestras ansiedades y
[38:46] preocupaciones nuestros problemas
[38:52] y las cosas con las cuales hemos sido
[38:55] tentada durante la semana
[38:58] y usted sepa que dios tiene tanto
[39:00] cuidado de usted
[39:02] que lo puso en la familia en la cual
[39:04] usted está en la iglesia donde usted
[39:08] está que le dio el pastor que usted
[39:11] tiene ahora mismo en el país
[39:14] porque él tiene cuidado de cada uno de
[39:16] ustedes
[39:20] y me pongo un poco nervioso pero en esta
[39:23] noche hay dios ante expert software
[39:25] diciendo algo especial de parte del
[39:28] señor germán esto antes de adelantarme
[39:31] lista voy a pedir que se pongan de pie y
[39:34] vamos a leer la escritura
[39:37] lo que dios tiene para nosotros
[39:40] pero antes de eso vamos a abrir la
[39:44] escritura al evangelio de lucas festín
[39:47] capítulo 15 ver seventeen versículos 17m
[39:52] también le dije
[39:58] al autor de la palabra huiquí enrique
[40:01] lenguas para que sea el que está
[40:04] revelando works es lo que su palabra
[40:06] dice
[40:07] porque él es el único y yo no le puedo
[40:10] decir sólo una broma pero es dios por
[40:14] medio de un dios por medio de lo general
[40:17] de obligar a ciertas yo creo que dios
[40:19] está en estos medios
[40:24] si realmente queremos eso
[40:29] es tan simple como esto
[40:31] en ese se dice de esta manera la única
[40:35] que dijo
[40:41] r cuántos verdaderos en casa de mi padre
[40:47] tiene en abundancia de pan y yo aquí
[40:49] parezco de hambre
[40:51] racing versículo 18 a wise en what's my
[40:55] father me levantaré y diré a mi padre
[40:57] una voz se hace bien y le diré para ver
[41:00] padre
[41:01] en el pecado contra el cielo por ti y
[41:04] contra ti
[41:08] ya no soy digno de ser llamado tu hijo
[41:13] cuantos sienten en sus muchas veces no
[41:16] siendo dignos de ser llamados sus hijos
[41:18] darles hoy hijas jennifer make me wanna
[41:22] die
[41:23] y dijo hazme como a uno de tus
[41:26] jornaleros en el spray vamos a hablar
[41:30] grace es la venganza amorosa de dios
[41:36] no verbal things el conocedor de todas
[41:39] las cosas sirve links
[41:42] el que mira todas las cosas que
[41:44] conocemos sabemos dios
[41:48] que usted conoce el deseo de nuestros
[41:51] corazones
[41:53] usted puede ver lo que está ahí adentro
[41:55] hay que nats yo no puedo hacer eso
[42:03] que usted haga la obra
[42:06] usted en esta noche se suponía ser lo
[42:09] que usted me haga a un lado la verdad
[42:11] many times como lo ha hecho muchas veces
[42:12] nylon pero en esta noche
[42:15] moving que usted hace usted que se mueva
[42:18] o manche pipo entre su pueblo amante
[42:20] brand entre su novia con una web
[42:23] pensad porque usted sabe lo que ellos
[42:25] tienen por dentro de esa ciudad por ende
[42:27] porque usted lo puso allí una plancha
[42:30] decir ustedes que plantó la semilla
[42:33] agrícola en sartén el que puso con toda
[42:36] la calidad en ellos
[42:38] el señor desconocido
[42:41] con sus tentaciones
[42:49] el estrés accionario y en esta noche
[42:57] nuestras preocupaciones
[43:03] enrique marshall y que podemos reconocer
[43:06] en nosotros mismos
[43:08] guarenas quién es usted en nosotros
[43:13] bendice tu palabra
[43:17] y oró por mí intérprete de igual manera
[43:21] que está por predicar después de mí
[43:26] el santo nombre exterior jesucristo
[43:28] pedimos esto en saint 6 y los distantes
[43:31] santos dijeron me amen y me visite
[43:33] pueden tomar asiento y sin historia
[43:37] largos son voy a estar enfocándome en la
[43:40] estela del hijo pródigo él
[43:42] una reunión story y mientras que leía
[43:46] esta historia
[43:48] pensé yo no sé si le ha pasado usted we
[43:50] need obtener here soon
[43:52] cuando usted lee o escucha algo
[43:56] captado cautiva su atención
[44:06] agarra el cautivo su atención cuando
[44:10] escuchaba esto la historia del hijo
[44:15] pródigo y nextel 17 dice así en one in
[44:19] game show y volviendo en sí
[44:23] many times muchas veces vamos a vender
[44:28] cuantos hemos estado allí cuando estamos
[44:32] haciendo lo que hacemos dondequiera que
[44:35] estemos en santín
[44:39] para que bar mind y de repente algo le
[44:41] dice muy atrás del ine en su mente hay
[44:44] un error lo que tú estás haciendo es
[44:46] incorrecto rivard ha vuelto todos hemos
[44:49] escuchado esa voz en medio del asma es
[44:53] out y muchos saltos yo yo me incluyo no
[44:56] lo hemos ignorado la pretensión no hemos
[45:00] prestado atención a eso patinaje ángel
[45:02] biel help pero en esta noche si yo puedo
[45:05] hacer de ayuda del hogar por la voluntad
[45:07] de dios es hoy quien jolie pitt se han
[45:10] centrado si podemos realmente ponerle
[45:13] atención a esa voz a leer vemos un poco
[45:15] más pues ahogar la voz de dios yo creo
[45:20] hay muchas cosas que podemos evitar en
[45:24] el futuro también en nl en lo que viene
[45:27] por el futuro de arenas pero todo está
