################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-16 - Nuestra Mayor Necesidad Vidal Moreno & Alex Perez - Alex Perez, Vidal Moreno.txt
Video ID: Ksmilgmd7M8
Segments: 1924
URL: https://www.youtube.com/watch?v=Ksmilgmd7M8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:04] a
[0:12] ah
[0:17] y
[0:20] ah
[0:23] a
[0:25] ah
[0:34] [Música]
[0:35] a
[0:39] a
[0:50] él
[0:53] ah
[1:05] ah
[1:12] a
[1:15] i
[1:19] ah
[1:21] hoy
[1:23] ah
[1:26] [Música]
[1:48] ah
[1:50] ah
[1:58] i
[2:01] ah
[2:03] a
[2:14] ah
[2:21] a
[2:27] ah
[2:27] [Música]
[2:32] hola
[2:37] ah
[2:44] ah
[2:47] ah
[2:53] ah
[2:56] [Música]
[3:00] ah
[3:03] y
[3:10] ah
[3:12] ah
[3:22] ah
[3:30] ah
[3:32] ah
[3:35] ah
[3:46] ah
[3:56] ah
[3:59] [Música]
[4:14] [Música]
[4:24] ah
[4:26] ah
[4:29] ah
[4:34] ah
[4:36] ah
[4:41] ah
[4:47] ah
[4:49] más
[4:57] ah
[5:01] ah
[5:07] ah
[5:12] ahora
[5:14] a
[5:16] ah
[5:18] ah
[5:21] a
[5:27] ah
[5:34] ah
[5:40] ah
[5:43] y más
[5:45] a
[5:55] ah
[5:58] más
[6:00] a
[6:05] ah
[6:07] y
[6:12] ah
[6:13] y
[6:17] ah
[6:19] ah
[6:21] ah
[6:23] ah
[6:26] ah
[6:29] ah
[6:34] ah
[6:37] ah
[6:38] no
[6:41] ah
[6:46] más
[6:48] ah
[6:50] ah
[7:01] ah
[7:02] a
[7:04] ah
[7:09] [Música]
[7:11] más
[7:19] [Música]
[7:29] ah
[7:32] ah
[7:42] ah
[7:59] y
[8:01] ah
[8:03] ah
[8:07] y
[8:15] y
[8:19] a
[8:24] ah
[8:33] ah
[8:37] ah
[8:38] [Música]
[8:43] a
[8:50] [Música]
[9:05] y
[9:13] y
[9:21] ah
[9:24] ah
[9:29] ah
