################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-13 - Sintomas De Una Relacion Quebrada Fidel Avila & Erik Sanchez - Erik Sanchez, Fidel Avila.txt
Video ID: qZfv4_kc3fc
Segments: 1052
URL: https://www.youtube.com/watch?v=qZfv4_kc3fc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:39] [Applause]
[0:39] [Music]
[0:45] [Applause]
[0:54] [Music]
[1:08] [Applause]
[1:09] [Music]
[1:30] so
[1:33] [Applause]
[1:43] [Music]
[1:45] so
[1:50] [Music]
[2:03] [Applause]
[2:04] [Music]
[2:12] so
[2:15] [Applause]
[2:16] [Music]
[2:34] [Music]
[2:56] so
[2:57] [Music]
[3:07] so
[3:08] [Applause]
[3:10] [Music]
[3:14] [Applause]
[3:21] [Applause]
[3:23] [Music]
[3:35] [Music]
[3:46] so
[3:48] [Applause]
[3:57] [Music]
[3:59] [Laughter]
[4:01] [Music]
[4:12] [Music]
[4:17] so
[4:20] [Applause]
[4:33] do
[4:48] [Music]
[5:04] [Laughter]
[5:06] [Music]
[5:07] [Applause]
[5:10] [Music]
[5:12] so
[5:15] [Music]
[5:30] so
[5:32] [Applause]
[5:36] [Music]
[5:49] [Applause]
[5:55] [Music]
[6:08] [Music]
[6:10] so
[6:16] [Applause]
[6:22] [Music]
[6:28] [Music]
[6:54] brothers
[6:55] [Music]
[7:07] oh
[7:10] [Applause]
[7:15] [Music]
[7:17] [Applause]
[7:19] [Music]
[7:25] [Music]
[7:35] [Music]
[7:42] oh
[7:45] [Music]
[7:47] oh
[7:48] [Applause]
[7:52] [Music]
[8:00] [Applause]
[8:08] [Music]
[8:37] oh
[8:38] [Music]
[8:52] yes
[8:53] [Music]
[9:06] [Music]
[9:21] [Music]
[9:24] foreign
[9:35] [Music]
[9:37] is
[9:39] [Music]
[9:53] give me
[9:55] [Music]
[9:57] [Applause]
[9:57] [Music]
[10:27] [Music]
[10:28] foreign
[10:30] [Music]
[10:43] [Music]
[10:52] [Music]
[10:55] we have a special
[11:10] [Music]
[11:18] different
[11:21] [Music]
[11:47] do
[11:53] [Music]
[12:14] [Music]
[12:22] is
[12:29] [Music]
[12:35] is
[12:39] [Music]
[12:51] soy
[12:52] [Music]
[13:24] [Music]
[13:37] [Music]
[13:44] is
[13:49] [Music]
[13:58] is
[14:01] [Music]
[14:07] [Music]
[14:16] [Music]
[14:28] [Music]
[14:41] [Music]
[14:49] differences
[14:50] [Music]
[15:04] so
[15:10] [Music]
[15:18] [Applause]
[15:21] [Music]
[15:22] [Applause]
[15:23] [Music]
[15:27] [Applause]
[15:32] brothers
[15:35] [Music]
[15:51] everything is okay
[15:55] [Music]
[16:05] is
[16:09] [Music]
[16:21] it's a little bit of a different style
[16:24] [Music]
[16:37] [Music]
[17:09] foreign
[17:13] [Music]
[17:23] [Music]
[17:24] foreign
[17:27] [Music]
[17:48] is
[17:49] [Music]
[17:51] [Applause]
[17:52] [Music]
[17:58] [Applause]
[18:03] [Music]
[18:08] [Applause]
[18:09] [Music]
[18:14] [Applause]
[18:16] is
[18:21] [Music]
[18:39] is
[18:49] [Music]
[18:54] oh
[18:56] uh
[18:58] [Music]
[19:08] [Applause]
[19:12] [Music]
[19:14] is
[19:19] [Music]
[19:24] [Applause]
[19:25] [Music]
[19:35] the word
[19:37] [Music]
[19:46] it is important to pray for the
[19:47] preachers
[19:58] [Music]
[20:08] [Music]
[20:18] the message is there ready
[20:22] [Music]
[20:36] [Music]
[20:40] um
[20:48] [Music]
[20:56] [Applause]
[20:57] [Music]
[21:01] foreign
[21:02] [Music]
[21:30] [Applause]
[21:31] [Music]
[21:43] a
[21:48] [Music]
[22:01] foreign
[22:06] [Music]
[22:16] [Music]
[22:18] [Applause]
[22:24] say
[22:26] [Music]
[22:42] foreign
[22:45] [Music]
[22:56] [Applause]
[23:00] foreign
[23:01] [Music]
[23:24] [Music]
[23:30] foreign
[23:32] [Music]
[23:53] [Music]
[24:01] amen
[24:02] [Music]
[24:27] me
[24:34] [Music]
[24:42] greet you in the name of the lord jesus
[24:44] christ
[24:45] can you hear me now amen
[24:49] we are happy to be in the house of the
[24:51] lord
[24:53] best place to be
[24:58] quickly i want you to follow me in the
[24:59] scripture like yes
[25:02] to malachi
[25:04] chapter 1 verse 2.
[25:08] we're going to be continuing the thought
[25:10] restoration restoration
[25:24] [Music]
[25:39] i have loved you saith the lord
[25:42] you say
[25:46] wherein hast thou loved us
[25:53] your word lord
[26:37] but we give him thanks because he does
[26:39] it
[26:43] we're speaking on the subject or theme
[26:45] restoration uh la palabra restaurant the
[26:48] word restoration
[27:17] because you cannot be substituted
[27:31] i don't know if you remember the message
[27:32] we are his
[27:43] [Music]
[27:45] we already had a wonderful
[27:52] [Music]
[28:12] [Music]
[30:34] return to what
[30:48] now when there
[31:16] in my
[31:29] so that's the way symptoms are yeah
[31:33] and there's another defect
[31:36] because i'm going to talk to you about
[31:37] my life
[31:41] analysis i just did some analysis or
[31:43] tests
[32:12] [Music]
[32:26] the doctor told me
[32:43] [Music]
[33:07] because it matters where you're
[33:36] is
[34:33] predication
[34:36] because i'm the first sinner el primero
[34:39] i'm the first in line
[34:41] [Music]
[34:44] we don't understand god's love in our
[34:46] lives
[35:23] [Music]
[35:33] [Music]
[35:38] the people made to themselves
[36:20] [Music]
[36:24] i was that deceiver
[36:26] [Music]
[36:35] [Music]
[36:38] because i was
[36:51] you are part of me
[37:21] insignificant the lord did not set his
[37:23] love upon you nor choose you because you
[37:25] were more number than ever
[37:28] we were the worst
[37:30] worst brother
[37:32] but it still pleased him
[37:37] [Music]
[37:46] loved you
[37:48] [Music]
[38:08] [Applause]
[39:33] [Music]
[39:39] and the second one is
[40:06] when you're tired
[40:36] because i failed
[40:39] [Music]
[40:47] the son honors his father
[40:50] your party
[41:25] our lives
[41:30] [Music]
[41:41] [Music]
[41:46] where have we despised your name
[41:48] the time came
[41:50] that the people of israel returned
[41:55] and they began to offer regard the most
[41:56] insignificant
[42:09] this is where tithing comes in
[42:11] where have you stolen from me
[42:13] el primera fidel
[42:28] is
[42:42] is
[42:51] [Music]
[43:00] [Applause]
[43:01] [Music]
[43:10] however
[43:26] may god help us
[43:29] verse 13 says
[43:52] how many times haven't we despise our
[43:54] lord
[43:58] with our deeds
[44:31] from the days of your fathers have you
[44:33] separated from my law el tercero
[44:47] [Music]
[45:01] i need the help
[45:11] i need help
[45:30] is
[45:43] i didn't do anything wrong
[46:04] conservation
[46:06] [Music]
[46:22] and i will return unto you
[46:39] i need to
[46:40] give a better effort
[46:43] and i say for myself
[46:47] because as we see times
[46:49] [Music]
[46:52] and then we still say no
[46:54] or
[47:20] despise him
[47:24] [Music]
[47:36] yes
[47:50] god's word
[47:59] is
[48:18] necessity
[48:24] [Music]
[48:35] [Music]
[48:38] [Applause]
[48:56] [Music]
[49:00] i'm not sure but if you don't take
[49:02] anything from this
[49:06] then there's something serious
[49:14] follow me to the book of john capitolo
[49:18] chapter 21
[49:20] juan capitolo
[49:21] john chapter 21
[49:26] we'll be reading verse 15 16 and 17.
[49:41] 15 16 and 17.
[49:48] so when they had dying jesus said to
[49:50] simon peter simon
[49:54] simon son of jonas love is tell me more
[49:57] than these
[49:59] senor tusaves
[50:02] he said unto him yeah lord thou knowest
[50:04] that i love thee
[50:07] he says unto me feed my lambs
[50:17] he said to him again the second time
[50:19] simon son of jonas love is thou me
[50:22] pedro
[50:33] [Music]
[50:48] peter was grieved because he said unto
[50:50] him the third time love is now me
[50:57] and he said unto him lord thou knowest
[50:59] all things thou knowest that i love thee
[51:01] jesus
[51:04] jesus saith unto him feed my sheep
[51:18] restoring our relationship with god
[52:15] is not only caressing and kisses i
[52:30] our blood flowing in our veins
[52:33] love is fulfilled
[52:36] the strength
[52:38] you face any situation
[52:42] face any challenge
[52:54] [Music]
[52:58] is
[53:00] [Music]
[53:37] himself to the disciples
[53:39] and amongst them simon peter
[53:43] who were fishing
[53:45] yesterday
[53:47] and this is their first conversation
[53:50] between jesus and peter
[53:52] pedro
[53:54] after peter denied him thrice
[53:59] i imagine a conversation is long
[54:03] and hard
[54:04] for peter
[54:07] imagine
[54:21] the person that gave us their back when
[54:23] we needed them the most
[54:25] person
[54:27] but that person i said was willing for
[54:29] everything
[54:32] but in the most defining moment
[54:35] he didn't even say he knew us
[54:40] but see how beautiful is the lord
[54:45] because jesus did not sit to speak with
[54:47] peter
[54:48] to uh
[54:50] complain
[55:17] jesus christ
[55:19] [Applause]
[55:28] [Music]
[55:35] [Applause]
[55:46] how curious the same amount of times
[55:49] how curious las mismas basis the same
[55:52] amount of times
[55:54] that peter denied him
[55:57] three times he denied him
[55:59] these were the three
[56:42] that they're crucifying
[56:53] his face was never the same
[56:56] he was
[56:56] afraid
[56:58] he was fearful
[57:02] for a moment they didn't know anything
[57:04] of him
[57:06] he wanted to go back to fish
[57:09] maybe he didn't want to continue with
[57:10] this commission
[57:22] what's the point
[57:27] [Music]
[57:45] [Applause]
[57:50] jesus
[57:58] [Music]
[58:08] and peter heard the most wonderful words
[58:13] that anyone that has failed can hear in
[58:16] juan mention
[58:17] in john 21 19 yes
[58:26] this speak he's signifying by what death
[58:28] he should glorify god
[58:31] and when he had spoken this see me he
[58:34] saith unto him follow me
[58:36] in other words pedro peter important
[58:40] it doesn't matter that you deny me
[58:41] thrice
[58:44] that you said you didn't know me
[58:46] continue
[58:47] get up no important
[59:00] amen thank you
[59:08] see what ecclesiastes 3 15 says
[59:13] that which hath been yes is now
[59:16] eloquently
[59:42] that's right
[59:44] [Music]
[59:56] see what our brother branham says
[1:00:09] the return of the sun to restore what
[1:00:11] the winner killed cuando
[1:00:40] gets away from the s-o-n son
[1:00:46] where this is the s-u-n
[1:00:49] see what it says
[1:00:52] but when this earth begins to come back
[1:00:54] i
[1:01:23] live preserve
[1:01:26] and as soon as the sun gets back in
[1:01:28] position
[1:01:29] and position with the earth again
[1:01:32] there's an easter egg
[1:01:35] a restoration
[1:01:50] stores
[1:01:54] [Music]
[1:02:16] then god will restore also his
[1:02:18] habitation
[1:02:28] [Music]
[1:02:45] what does the return of the sun do
[1:02:48] enforcer the forces listen
[1:02:58] the spring sun comes back in line of the
[1:03:00] earth again
[1:03:04] it actually forces death to give up its
[1:03:07] death
[1:03:08] to a resurrection okay for what
[1:03:12] a restoration
[1:03:41] [Music]
[1:03:42] but the moment comes
