################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-12 - Fe Disruptiva Vidal Moreno - Vidal Moreno.txt
Video ID: iwh153yYEDg
Segments: 607
URL: https://www.youtube.com/watch?v=iwh153yYEDg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:32] [Music]
[1:17] [Music]
[1:21] [Applause]
[1:22] [Music]
[1:30] so
[1:34] [Music]
[2:24] [Music]
[2:34] [Applause]
[2:37] [Music]
[3:09] [Music]
[3:14] [Applause]
[3:15] [Music]
[3:22] [Music]
[4:17] [Music]
[4:24] [Applause]
[4:25] [Music]
[4:26] [Applause]
[4:26] [Music]
[4:28] [Applause]
[4:32] so
[4:39] [Music]
[4:50] [Music]
[4:52] [Applause]
[5:00] [Music]
[5:06] [Music]
[5:13] [Music]
[5:15] [Applause]
[5:22] [Music]
[5:28] so
[5:30] [Music]
[5:45] [Music]
[5:57] [Music]
[6:06] [Applause]
[6:06] [Music]
[6:38] so
[6:44] [Music]
[6:52] do
[6:57] [Music]
[7:07] [Music]
[7:49] do
[7:54] [Music]
[8:03] so
[8:13] [Music]
[8:18] [Music]
[8:25] [Laughter]
[8:26] [Music]
[8:30] do
[8:38] [Music]
[8:46] [Music]
[8:57] so
[9:07] [Music]
[9:26] so
[9:30] [Music]
[9:40] [Music]
[9:53] so
[9:56] [Music]
[10:13] [Music]
[10:36] so
[10:38] [Music]
[10:40] [Applause]
[11:22] do
[11:33] so
[11:36] [Music]
[11:47] so
[11:58] [Music]
[12:03] so
[12:16] do
[12:48] god bless you brother
[12:57] [Music]
[13:05] a
[13:11] [Music]
[13:23] [Music]
[13:31] [Music]
[13:45] [Music]
[13:53] [Music]
[14:28] a
[14:39] [Music]
[14:49] [Music]
[14:53] [Applause]
[14:54] [Music]
[15:00] [Music]
[15:16] [Music]
[15:24] m
[15:36] [Music]
[15:49] [Music]
[16:02] [Applause]
[16:18] [Music]
[16:20] yes
[16:32] is
[16:35] [Music]
[16:48] is
[16:52] [Music]
[17:02] oh
[17:22] [Music]
[17:44] is
[17:57] [Music]
[17:58] oh
[18:11] [Music]
[18:38] [Music]
[18:46] [Music]
[18:54] is
[19:05] [Music]
[19:12] [Music]
[19:19] [Music]
[19:31] hallelujah
[19:36] [Music]
[19:52] [Music]
[19:58] hallelujah
[20:06] [Music]
[20:51] [Music]
[21:06] [Music]
[21:13] you
[21:14] [Music]
[21:23] [Music]
[21:39] [Music]
[21:41] green
[21:56] in
[22:09] [Music]
[22:22] [Music]
[22:34] so
[22:38] [Music]
[23:22] [Music]
[23:35] i
[23:37] [Music]
[23:50] [Music]
[24:03] foreign
[24:05] [Music]
[24:25] [Music]
[24:40] [Music]
[24:45] i
[24:50] [Music]
[24:56] [Music]
[25:03] [Music]
[25:20] [Music]
[25:26] i
[25:31] [Music]
[25:47] [Music]
[26:00] oh
[26:05] [Music]
[26:08] [Applause]
[26:09] [Music]
[26:22] welcome
[26:24] [Music]
[26:36] christ the name like no other
[26:38] [Music]
[26:42] there's no one like him
[26:44] amen brothers
[26:47] and we can trust him
[26:49] if you can please stand
[26:57] [Music]
[27:03] we're going to be collecting the
[27:04] offering
[27:08] [Music]
[27:20] so let's just
[27:22] leave that aside for a minute
[27:24] and let's rejoice in the world
[27:25] [Music]
[27:32] and we'll be receiving the preacher
[27:42] [Music]
[27:47] foreign
[27:50] [Music]
[28:12] see
[28:14] [Music]
[28:24] [Music]
[28:46] [Music]
[28:55] [Music]
[29:17] [Music]
[29:24] i
[29:28] [Music]
[29:36] m
[29:42] [Music]
[29:50] oh
[29:53] [Music]
[30:05] yes
[30:07] [Music]
[30:14] foreign
[30:16] [Music]
[30:33] god bless everyone
[30:47] thank god first and foremost
[31:02] to the book of jude
[31:08] chapter one capitola uno um we're still
[31:12] on the um on the subject of restoring
[31:14] the faith
[31:17] amen
[31:18] amen
[31:21] let us read god's word
[31:27] this is jude the servant of jesus christ
[31:30] and brother of james to them that are
[31:32] sanctified by god the father and
[31:35] preserved in
[31:36] jesus christ and cult
[31:44] scientifically
[31:48] i like how it says preserved incre in
[31:50] jesus christ
[31:54] it says mercy unto you in peace and love
[31:56] be multiplied
[32:01] says beloved
[32:02] when i gave all diligence to write unto
[32:05] you of the common salvation
[32:07] it was needful for me to write unto you
[32:10] and exhort
[32:11] you that ye should earnestly contend
[32:14] for the faith which was once delivered
[32:16] unto the saints
[32:26] ex
[33:22] to
[33:35] and we just ask that you speak to your
[33:36] europe
[33:39] and and that all honor and glory
[33:41] gloria will be to you lord
[33:44] by the way yes this is the name of our
[33:45] lord jesus
[33:47] christ amen amen you may be seated
[33:50] sientos
[33:54] uh it's kind of been on my mind during
[33:56] the past uh
[33:57] past month
[34:01] uh i i want to title this message
[34:18] you know when we talk about something
[34:20] that uh that disrupts
[34:26] you know i i kind of want to i kind of
[34:28] want to um i want you to understand what
[34:30] what i'm speaking of when i say
[34:31] disrupted
[34:42] it indicates something you know
[34:44] something that that's ruptured and then
[34:45] something that's what you would call a a
[34:48] little grotesque or a rough indica
[34:54] uh you know
[34:55] and then uh on the other side
[34:58] you know it makes reference to a
[35:15] and i think that's what we want that's
[35:16] what we want yes
[35:19] so we don't come to the house of god
[35:22] you know to to have a small chain but
[35:26] you know what i don't i don't believe
[35:27] that you know
[35:28] i believe
[35:38] you know if i was just if i wasn't going
[35:40] to receive a whole lot
[35:42] you know i'd be going to do something
[35:44] that i i really like to do
[35:48] you know i'm actually doing something
[35:49] that i really like to do
[35:52] this is something i enjoy
[35:56] serving god
[36:10] amen
[36:52] foreign
[37:19] you know we talk about beast a lot of
[37:21] times we we think that it's a bad thing
[37:25] but but you know uh the beast can be it
[37:28] can be used on good terms
[37:33] he can be a beast
[37:45] [Music]
[38:03] jude one uh i believe it was three
[38:05] images
[38:08] you know i want to read that once again
[38:12] it says like this you say
[38:14] it's just beloved
[38:16] you see our mothers
[38:50] [Applause]
[39:12] is
[39:54] he's gonna get back up
[39:56] that he if he lost one battle
[39:59] that does not mean he lost the war
[40:03] the war is not defined
[40:07] one battle boruno
[40:20] he is
[40:50] he's the winner
[41:11] i just want to give some examples here
[41:15] you know whenever you are
[41:18] sleeping
[41:30] you know you're nice and you you know
[41:31] you just
[41:32] i don't know what what stage of sleep it
[41:35] is but it's there's one that's real good
[41:41] first thing there you go first stage
[41:43] third third stage
[41:44] is
[41:59] that that people don't that they don't
[42:00] like to
[42:26] they're gonna let you know
[43:07] you know when we come to the house of
[43:09] god
[43:24] know i think that's what god means to do
[43:27] yes look in your pencil case look at
[43:28] your skin i said oh my god he's not
[43:30] gonna sugarcoat things
[43:34] he's not he's not gonna just he's not
[43:36] gonna be like oh it's okay it's okay
[44:21] a man
[44:22] it's just something that's been
[44:23] disrupted
[44:26] you know and and i think that that's
[44:27] what he he doesn't do things by accident
[44:32] he does them on purpose
[44:34] and he allows
[44:48] you think god wants
[45:00] he was allowed to disrupt a lot of
[45:02] things
[45:44] the devil never
[47:22] what
[47:36] is
[48:22] it's not just
[48:24] i mean we could take it in so many ways
[48:29] and remember we don't want to lose focus
[48:30] on on the faith part of it
[48:55] it brings a lot of of complacency
[48:58] being complacent just
[49:00] you know like how would you call it
[49:03] when you're complacent you're you're
[49:04] just you're just satisfied
[49:10] satisfied with coming to church
[49:12] uh especially
[49:14] you know god's gotta he's gotta disrupt
[49:17] that
[49:19] no he's gotta he's gonna just you know
[49:21] get get a little rough sometimes
[49:25] yes that's right escorto you guys gotta
[49:27] get rough
[49:44] it helps i do that it does i see you
[49:47] know what it it helps when you when you
[49:49] correct
[49:52] because it gets their attention
[49:55] that's what god wants to do okay i said
[49:58] because you know in church what can like
[50:00] listen to
[50:01] the nemo
[50:02] the word
[50:04] for a moment
[50:08] and then we forgive you
[50:09] and it becomes a psychology
[51:20] this is
[52:16] what faith is look at la fetes what
[52:19] disruptive faith is
[52:22] contrary es lo contrario to what what
[52:25] the world thinks the local mundo
[52:27] piensata
[52:28] face fedex ruptiva
[52:43] does something different
[52:45] ferente amen amen
[52:48] and when we sit there and think about it
[52:53] this work esta caminata was supposed to
[52:56] produce some things
[53:00] it was supposed to it was supposed to do
[53:02] things
[53:04] that just come in the church mosque
[53:07] dressed in eyes
[53:12] putting on the jail
[53:20] you know it goes so much further
[53:23] other than that
[53:25] you know when we talk about it you see
[53:28] when you get this kind of faith
[53:31] you see because when nature is disrupted
[53:37] you know when nature is disrupted
[53:40] you know something happens to it
[53:44] you know it's like i said something's
[53:46] interrupted
[53:48] and it's not normal
[53:50] it's not normal
[53:51] to the point
[53:53] where people start noticing the last
[53:56] person
[53:57] but there was a there was a 7.2
[53:59] earthquake in peru i believe it was uh
[54:01] when we were in cedar hill at new mexico
[54:08] you know and uh
[54:10] i was over here in
[54:12] in the united states
[54:15] and i heard about it
[54:18] because nature was disrupted
[54:22] i believe something
[55:06] [Applause]
[55:31] talking about
[56:19] [Music]
[56:31] the people are the children of god you
[56:33] know they're pretty problematic people
[56:37] nobody
[56:39] they could be good problems too
[56:42] they don't always have to be
[56:53] because you're going against what
[56:54] everybody believes
[56:56] is
[57:14] 96 down the very bottom it says then
[57:17] what about healing the stick anton says
[57:22] then he says greater is he that's in you
[58:47] amen amen
[59:00] outside of christ puerto
[59:13] you know i want to read something bro
[59:15] excuse me brother branham says
[59:25] he says greater was he that was in the
[59:26] hebrew children
[1:00:07] [Applause]
[1:00:53] i want to be a part of the victory
[1:00:56] victoria no it doesn't
[1:00:58] but uh
[1:00:59] just because you're up here
[1:01:02] no that doesn't mean
[1:01:05] you know
[1:01:06] the people can't help you down there
[1:01:07] either
[1:01:36] yesterday
[1:02:18] i'm
[1:03:09] you didn't feel like you were part of
[1:03:10] the victory
[1:03:12] part of the victoria i didn't feel like
[1:03:14] it you're not
[1:04:25] [Music]
[1:04:28] you know whenever
[1:04:31] we see these fruits
[1:04:35] when we see the life of jesus
[1:04:39] and what that life produced
[1:04:44] that's what the church it's looking like
[1:04:47] it's called to do for your mother
[1:04:50] they're called to do the same thing
[1:05:28] and i was just talking about you know
[1:05:30] the seed
[1:05:33] you know about how we say where abraham
[1:05:35] seeds
[1:05:40] and
[1:05:41] i believe that yolo creole i believe
[1:05:44] we're abraham's c
[1:05:47] but that's
[1:06:44] seeds
[1:06:50] the bringing forth to the fruit
[1:06:52] fruit
[1:06:56] it's supposed to bring
[1:07:12] and how you know
[1:07:55] meaning
[1:07:57] people's always been talking about the
[1:07:58] last days
[1:08:02] and i can't remember who said it
[1:08:06] one of us
[1:08:08] caleb i can't
[1:08:25] [Music]
[1:08:28] you know whenever
[1:08:29] you know the end
[1:08:31] comes
[1:08:33] you know like i just
[1:08:36] i just got to bring it to a more uh
[1:08:39] to where you can understand
[1:08:44] because you know at the end of the game
[1:08:48] the
[1:08:50] the players that get left-in
[1:08:54] the players that were called
[1:08:59] they're the best sonos
[1:09:02] they're the ones
[1:09:04] that that that god called okay
[1:09:07] more you see the seventh age
[1:09:10] you see we were called females
[1:09:12] we were called to close this out
[1:09:17] we were called to close out the final
[1:09:19] age
[1:09:22] to produce a producer you know what
[1:09:25] every age located
[1:09:27] thought that they would produce pensoque
[1:09:29] produced because paul preached like it
[1:09:31] was the end
[1:10:00] is
