################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-08-28 - En Que Mundo Vives Pastor Tito Moreira - Tito Moreira.txt
Video ID: Gi30jjlD1qo
Segments: 1747
URL: https://www.youtube.com/watch?v=Gi30jjlD1qo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Música]
[0:34] [Música]
[0:36] ah
[0:52] y
[0:56] y
[0:59] [Música]
[1:08] y
[1:10] [Música]
[1:14] y
[1:16] a
[1:18] a
[1:20] i
[1:24] i
[1:27] e
[1:30] [Música]
[1:42] [Música]
[2:12] [Música]
[2:17] ah
[2:19] a
[2:19] [Música]
[2:30] no
[2:32] [Música]
[2:44] [Aplausos]
[2:45] [Música]
[3:00] 1
[3:09] [Música]
[3:15] no
[3:16] [Música]
[3:43] [Música]
[3:49] él
[3:51] [Música]
[3:56] y
[3:56] [Música]
[4:11] [Aplausos]
[4:11] [Música]
[4:17] [Música]
[4:19] cómo
[4:21] tú
[4:25] [Música]
[4:28] tú
[4:29] [Música]
[4:34] [Música]
[4:41] bien
[4:42] [Música]
[4:47] e
[4:50] [Música]
[4:54] no
[4:58] [Música]
[5:02] a mí
[5:05] [Aplausos]
[5:08] [Música]
[5:13] o
[5:15] i
[5:16] [Música]
[5:19] tú
[5:22] hoy
[5:25] y
[5:29] [Música]
[5:34] i
[5:41] [Música]
[5:49] [Aplausos]
[5:50] [Música]
[5:56] e
[5:59] [Música]
[6:05] [Música]
[6:09] él
[6:11] sí
[6:13] [Música]
[6:23] por más
[6:29] e
[6:33] [Música]
[6:42] [Música]
[6:49] [Música]
[6:51] y
[6:55] i
[7:01] [Música]
[7:10] o no
[7:16] [Música]
[7:26] e
[7:28] [Música]
[7:48] él
[7:54] [Música]
[7:58] d
[7:59] [Música]
[8:07] i
[8:10] y
[8:13] [Música]
[8:19] [Música]
[8:31] [Aplausos]
[8:32] [Música]
[8:43] i
[8:47] [Música]
[8:56] [Música]
[9:00] y
[9:08] i
[9:10] [Música]
[9:11] [Risas]
[9:12] [Música]
[9:21] [Música]
[9:41] e
[9:42] [Música]
[9:58] bueno
[10:00] [Música]
[10:04] i
[10:05] [Música]
[10:19] e
[10:20] [Música]
[10:32] y
[10:36] [Música]
[10:38] ah
[10:48] e
[10:56] e
[10:57] [Música]
[11:00] y
[11:02] [Música]
[11:08] cómo
[11:12] no no no
[11:22] [Música]
[11:30] [Música]
[11:45] y
[11:49] e
[11:51] [Música]
[12:00] o no
[12:05] [Música]
[12:11] e
[12:14] [Música]
[12:18] no no no
[12:23] y
[12:25] e
[12:30] [Música]
[12:42] [Música]
[12:54] bien
[13:03] [Música]
[13:06] no no
[13:09] [Música]
[13:18] e
[13:34] [Música]
[13:41] e
[13:51] [Música]
[13:58] [Música]
[14:00] bien
[14:14] [Música]
[14:21] [Música]
[14:33] [Música]
[14:36] 1
[14:43] o no
[14:46] [Música]
[14:54] no puedes
[14:59] 2
[15:04] [Música]
[15:06] e
[15:10] [Música]
[15:14] bien
[15:18] e
[15:27] [Música]
[15:35] [Música]
[15:42] [Música]
[15:56] he mencionado en esta mañana hermanos
[16:00] aleluya cuando se están contentos de
[16:02] estar aquí
[16:05] ante conmigo esta alabanza estaban
[16:07] william hay temores
[16:09] [Música]
[16:11] y sí
[16:13] si mi jesús
[16:14] [Música]
[16:16] conmigo está
[16:18] ya no hay pesado
[16:25] y jesús
[16:26] formigó
[16:30] porque estar triste fiel los dios
[16:35] yo soy de fable
[16:39] salvo
[16:41] porque llorar
[16:44] porque se mire
[16:46] si mi jesús por mí
[16:50] pero estar
[16:52] dios ya los ojos
[16:56] de edad
[16:57] que es la voz de
[17:01] aclamación
[17:03] la voz de la
[17:07] resurrección entre entre nosotros pronto
[17:13] estará
[17:15] porque estar tristes él nos dio
[17:20] que la civil
[17:22] [Música]
[17:24] señor
[17:25] yo volveré
[17:32] esta vereda una vez más
[17:37] y yo volveré
[17:40] cabalga
[17:42] y esta vida
[17:44] nada que es baja
[17:49] gloria a dios de una plaza al señor
[17:52] jesucristo
[17:54] sean todos bienvenidos en esta mañana
[17:57] cuántos han venido con el deseo de
[17:59] alabar
[18:01] de recibir algo de parte del señor es de
[18:04] esta mañana
[18:05] me voy a invitar que se ponga de pie
[18:08] vaya estirando ese cuerpo no sólo a
[18:13] servicio a dios a leterme despertar
[18:15] ponga su cuerpo en servicio el señor en
[18:18] su fútbol mi corazón dígaselo dya
[18:23] navarra
[18:25] a mi señor y dios
[18:28] al rey de amor
[18:30] en la tierra de paz
[18:33] suele tener
[18:36] ya su pueblo salmón y aunque aquí sufrió
[18:39] en vano no fue una vez más mi corazón
[18:44] y acabará
[18:47] así señor dios
[18:50] al rey
[18:53] y la tierra de paz
[18:56] 7rm
[18:58] que a sus pueblos algo y aunque aquí
[19:01] sobrio en vano no harán ante los en
[19:04] inglés hay algo
[19:07] m
[19:12] hay algo así
[19:15] puedes a violarla
[19:21] lucena
[19:24] efe
[19:26] hay lagos
[19:28] jude adorable
[19:32] a ti
[19:35] my heart will see
[19:37] en el avión
[19:41] sí
[19:43] de la cocina
[19:44] estaba afuera
[19:48] día del señor yo le quiero hacer
[19:52] mire porque él me puede salvar
[19:58] hasta el propio
[20:01] llevarme a vivir
[20:05] de siempre que pueda mirar dígale
[20:12] la base vaya sr
[20:15] le mire
[20:18] eternidad
[20:20] y también he guardado la fe
[20:26] solo espero
[20:29] a llevar
[20:32] con aquellos que no odia
[20:37] en el mundo de tres que luchar por mí
[20:43] siendo
[20:45] nacido de dios
[20:48] de su amor no me quiero
[20:53] feliz la mayoría centuria sports
[21:04] y también de guardar
[21:10] solo espero me vengas a llevar
[21:14] me he peleado
[21:18] señor
[21:22] en mi carrera terminara mi
[21:25] bonita miel de guardado la piel
[21:31] solo espero me dejas por la última
[21:35] estrofa la corona y la corona de
[21:38] justicia ya está
[21:42] preparada al que lucha hasta el fin
[21:47] en el señor
[21:51] en el día tienes
[21:54] es que tenga después de tomar sus
[21:57] lugares y he peleado la barba
[22:01] la señora
[22:03] le diré mi carrera
[22:07] terminaría son también de guarda
[22:14] solo espero que mi casa llevar
[22:21] la batalla señor
[22:24] le diré mi carrera termina
[22:31] también he guardado la fe
[22:35] solo espero me vengas a llevar
[22:43] bendito sea el nombre de ese bien y mal
[22:46] olor que bueno es el show que él es tan
[22:50] maravilloso son mortales él nos ha dado
[22:54] muchas grandes cosas en las guerras many
[22:57] great insular cosas que yo creo que no
[23:00] tenemos con qué pagarles drawing las
[23:02] gracias bendiciones que unas árabes
[23:04] dejarles que cuando se están listos ya
[23:07] para recibir la palabra
[23:17] estaremos recibiendo las tropas y ganas
[23:20] que nos traerá la porción de esta mañana
[23:27] [Música]
[23:32] [Música]
[23:33] qué mal
[23:38] vamos a estar levantando la ofrenda
[23:40] también
[23:42] n
[23:51] y aflora
[23:55] la sala de morir
[24:00] por más
[24:05] jourdain jr
[24:07] yo
[24:08] bye
[24:10] [Risas]
[24:15] qué va
[24:25] ser feliz
[24:29] para shamaa la lluvia o la voz
[24:33] más
[24:36] más
[24:39] tenía
[24:41] hambre
[24:44] [Risas]
[24:46] y el mío
[24:50] la soledad
[24:53] [Música]
[25:00] [Música]
[25:03] nada me va mal
[25:06] me duermo
[25:08] [Música]
[25:10] confesarte es por mi amor amor
[25:19] igual
[25:30] fuerte
[25:31] y le asigna corres llamó a llamar chau
[25:37] pasar
[25:42] whitmill
[25:44] soy un
[25:46] para wii
[25:48] el me
[25:49] [Risas]
[25:52] y yo
[25:53] solbes
[25:57] no
[25:59] o no
[26:07] eres más tú eres más
[26:11] esto
[26:12] sí siente o tú eres más
[26:16] tú eres más que
[26:21] siempre
[26:32] y
[26:37] [Música]
[26:42] al libro de zacarías capítulo 4
[26:49] libro de zacarías capítulo 4
[26:54] ford y el versículo 3 en rostro y da
[26:59] gusto mirar los acabados de ustedes
[27:03] y que dios nos ha reunido en cargaderos
[27:06] para formar una atmósfera espiritual
[27:09] forma espiritual de ser y dejar que él
[27:12] se mueva entre nosotros la gente menos
[27:14] soberbia ciudad de marjah
