################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-11-12 - Responding To The Voice Vidal Moreno Jr. & Guillermo Avila - Vidal Moreno.txt
Video ID: s_Ioxp3BNA8
Segments: 1481
URL: https://www.youtube.com/watch?v=s_Ioxp3BNA8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Music]
[0:15] [Music]
[0:36] [Music]
[0:42] [Music]
[0:58] h
[1:00] [Music]
[1:13] [Music]
[1:28] oh
[1:31] [Music]
[1:46] [Music]
[1:58] yeah
[2:03] [Music]
[2:13] [Music]
[2:18] [Music]
[2:27] [Music]
[2:38] [Music]
[2:58] h
[3:02] [Music]
[3:09] [Music]
[3:20] [Music]
[3:28] h
[3:30] [Music]
[3:41] [Music]
[3:58] h
[4:01] [Music]
[4:28] h
[4:33] [Music]
[4:58] oh
[4:59] [Music]
[5:13] [Music]
[5:25] [Music]
[5:28] you
[5:30] [Music]
[5:55] [Music]
[6:00] [Music]
[6:16] [Music]
[6:28] oh
[6:31] [Music]
[6:44] [Music]
[6:55] [Music]
[7:01] [Music]
[7:36] [Music]
[7:42] [Music]
[7:49] [Music]
[8:08] [Music]
[8:28] h
[8:33] [Music]
[8:52] [Music]
[9:10] [Music]
[9:28] h
[9:31] [Music]
[9:40] [Music]
[9:58] h
[10:01] [Music]
[10:10] [Music]
[10:24] [Music]
[10:31] [Music]
[10:44] [Music]
[10:58] yeah
[11:01] [Music]
[11:27] o
[11:29] [Music]
[11:38] [Music]
[11:57] h
[12:06] [Music]
[12:20] [Music]
[12:27] [Music]
[12:34] [Music]
[12:43] [Music]
[12:45] fore
[12:47] fore
[12:57] spee
[13:01] [Music]
[13:06] [Music]
[13:23] [Music]
[13:27] foree
[13:36] [Music]
[13:39] for
[13:41] [Music]
[13:57] Fore
[14:02] [Music]
[14:11] foree
[14:14] [Music]
[14:27] fore
[14:35] [Music]
[14:44] [Music]
[14:57] fore
[15:04] [Music]
[15:14] [Music]
[15:27] for
[15:31] [Music]
[15:49] [Music]
[15:57] speee
[16:01] [Music]
[16:15] fore
[16:27] for
[16:32] Hallelujah
[16:37] [Music]
[16:50] [Music]
[16:57] s
[16:59] [Music]
[17:10] [Music]
[17:25] [Music]
[17:27] for
[17:34] [Music]
[17:38] take
[17:39] [Music]
[17:54] [Music]
[17:57] Hallelujah
[18:10] [Music]
[18:13] for
[18:18] huah
[18:20] [Music]
[18:27] oh
[18:38] foree
[18:41] for
[18:43] [Music]
[18:53] [Music]
[18:57] spee
[19:03] [Music]
[19:14] [Music]
[19:27] spee
[19:31] [Music]
[19:39] [Music]
[19:51] [Music]
[19:57] fore
[20:07] [Music]
[20:09] foree
[20:12] fore
[20:27] hallelu
[20:43] [Music]
[20:52] hallelujah oh
[20:54] [Music]
[20:57] Hallelujah
[21:01] [Music]
[21:18] hallelujah
[21:22] [Applause]
[21:27] hallelujah Mercy over
[21:29] us he's never left
[21:32] us
[21:34] that's
[21:42] [Music]
[21:52] him
[21:57] Hallelujah
[22:05] [Music]
[22:08] [Applause]
[22:08] [Music]
[22:20] [Music]
[22:26] for
[22:31] [Music]
[22:37] [Music]
[22:48] [Music]
[22:56] is
[23:00] [Music]
[23:09] [Music]
[23:26] foree
[23:38] it is true it
[23:41] [Music]
[23:53] [Music]
[23:56] is
[23:58] [Music]
[24:26] your
[24:27] [Music]
[24:36] [Music]
[24:49] oh
[24:56] eny
[25:00] [Music]
[25:20] [Music]
[25:21] water
[25:23] I Within
[25:26] Me
[25:28] I
[25:29] give
[25:31] you
[25:35] praise all that
[25:40] iore is in
[25:42] [Music]
[25:49] you Lord I give you my
[25:53] heart I give you my soul
[25:58] [Music]
[25:59] I live for you
[26:03] alone every breath that I
[26:07] take every moment I'm
[26:12] aake Lord have your way in
[26:18] me you my
[26:21] heart I give you my
[26:26] soul I live for you Al
[26:32] Lord every breath that I
[26:36] take every moment
[26:41] I'm Lord have your
[26:52] way how many is happy to be in the house
[26:54] of the
[26:56] Lord
[26:58] we send uh
[27:00] greetings uh to our brothers
[27:04] Froman uh our brothers from
[27:07] California CIA uh you know uh just to
[27:10] start
[27:12] off I want to uh I want to you know
[27:15] thank uh thank the
[27:17] Lord you know for uh giving uh giving me
[27:20] the
[27:22] privilege uh to be able to go on this uh
[27:24] trip last week to
[27:26] uan
[27:29] yeah I believe it was a victorious
[27:34] trip our pastor he he didn't say it on
[27:37] on on
[27:40] Wednesday uh but uh we uh we had the
[27:44] privilege of uh baptizing uh you know
[27:47] the the first soul in
[27:51] ran and you know her name was uh
[27:55] Pearl you know so she was lot lost
[27:59] Pearl and uh and and you know we found
[28:02] her there in
[28:03] uran you know and if the Lord just sent
[28:05] us for that
[28:08] one uh if it was just the
[28:11] one if it was just that one then it was
[28:14] it was it was it was worth
[28:17] it amen amen and you know the Lord's
[28:20] been
[28:21] good amen amen um let us uh open our
[28:26] Bibles
[28:28] uh to the book of uh um The Book of
[28:33] John chapter
[28:37] 10 verse
[28:42] 27 we want to uh preach with uh the
[28:47] title responding to the
[28:53] voice let us uh read the the word of the
[28:56] Lord
[28:59] John 10 verse
[29:01] 27 it reads like
[29:04] this says my sheep hear my voice and I
[29:08] know them and they follow
[29:13] me um John 15 verse
[29:22] 13 John 15 verse
[29:26] 13
[29:28] reads like
[29:29] this says greater love hath no man than
[29:32] this that a man laay down his life for
[29:34] his
[29:39] friends uh let us bow our heads in
[29:43] prayer Heavenly Father we're so grateful
[29:46] Lord this
[29:48] morning for the privilege that you uh
[29:51] that you give
[29:53] us uh to come before your presence
[29:56] Lord to be able to speak your
[29:59] word that brings life to your
[30:03] church that quickens the dead
[30:06] father we just ask Lord that you move in
[30:09] every heart
[30:11] Lord in every heart that's expecting
[30:13] Lord great from
[30:16] you because I believe there's nothing
[30:18] greater than your
[30:20] word we just we just uh we're just
[30:23] grateful
[30:24] Lord and we just uh we just Des desire
[30:27] that that you would just move amongst
[30:31] us and just Quicken every fiber of our
[30:34] body
[30:36] Lord that we would uh that we would
[30:40] live uh live live for your purpose
[30:43] father put ourselves in your
[30:46] hands that we ask this in the name of
[30:48] our Lord Jesus
[30:50] Christ amen amen uh you may be
[30:55] seated um
[30:59] responding to the
[31:01] voice
[31:03] uh you know our Lord Jesus
[31:07] Christ you know when he's uh speaking
[31:10] here he
[31:13] uh there's two things that he says that
[31:15] really uh catch my
[31:19] attention uh you know he says my sheep
[31:22] hear my
[31:24] voice and he says and then and and they
[31:27] and they follow
[31:28] me amen
[31:31] amen so there's a
[31:35] hearing and then there's and then
[31:37] there's a there's an
[31:39] action uh because when you uh when you
[31:42] hear
[31:44] something a lot of times it seems like
[31:46] people don't hear
[31:49] anything you know it's like it's like
[31:51] they they they're they're
[31:55] dead you know because there's no action
[31:57] behind behind what they
[32:01] heard you know and a lot of times it's
[32:03] not so much the people out there that
[32:05] are
[32:08] hearing uh you know that it's not it's
[32:11] not their fault a lot of
[32:13] times other times it's behind the pulpit
[32:17] amen because there has to be a a
[32:20] quickened
[32:22] words you know something that has life
[32:24] in
[32:25] it it it order to
[32:28] produce an
[32:31] action amen amen you know the the the
[32:34] phes you know in this
[32:37] chapter you know they come and they uh
[32:41] they want uh they want an answer from
[32:44] the
[32:45] Lord it seemed like they were uh for
[32:48] some reason in
[32:51] suspense no they they they come and they
[32:53] tell
[32:55] them like don't leave us in suspense or
[32:57] in doubt any
[33:00] longer uh you know but the
[33:04] Lord the Lord had reminded reminds
[33:08] them of all the things he had done up to
[33:11] this
[33:13] point amen amen uh because he had done
[33:16] many
[33:17] things he he had had shown them many
[33:22] miracles uh many
[33:24] signs uh up to that point
[33:28] but they they wanted uh they wanted
[33:32] more but uh Matthew I want you to go to
[33:35] Matthew 12 verse
[33:41] 40 something that uh our brother Isaac
[33:44] touched on a little
[33:46] bit touched on Jonas on Friday on Jonah
[33:51] Friday it says for as as as Jonas was
[33:54] three days and three nights in the wells
[33:57] belly so shall the son of man be three
[34:00] days and three nights in the heart of
[34:02] the
[34:11] earth you know when uh the the when the
[34:14] the Pharisees you know ask the Lord for
[34:16] a
[34:19] sign you know he tells them you're not
[34:21] going to get any any other
[34:25] sign
[34:27] uh than the sign of the prophet
[34:32] Jonah because up to that point he had
[34:34] done many
[34:37] things uh and and you know they still
[34:39] didn't
[34:40] believe they didn't believe the
[34:43] Miracles oh they didn't believe the the
[34:45] the
[34:47] signs and so they weren't going to
[34:49] believe
[34:51] anything but but Jonah when Jonah was
[34:54] sent to uh to n
[34:59] oh there there was something that there
[35:00] was a lot of things that he didn't
[35:03] do and the people still
[35:06] believed you see Jonah didn't he didn't
[35:09] perform any
[35:12] Miracles Jonah didn't have forgiveness
[35:14] for
[35:15] him he had no
[35:17] mercy he had no
[35:19] love and they still believed the
[35:22] preaching of the
[35:25] word and is telling
[35:28] them all I'm going to give you
[35:31] now is the preaching of the
[35:34] word see I don't believe it's any
[35:36] different in this
[35:38] day because I believe the Lord Has Done
[35:40] many things in our
[35:43] Liv worked many
[35:46] miracles
[35:49] wond
[35:52] comprehend he's done
[35:54] it and we still want a sign
[35:58] we still want some kind of
[36:02] indication if it's him or
[36:04] not well he tells us the same thing
[36:08] today I won't give you anything
[36:11] else but the preaching of the
[36:16] word amen
[36:19] amen don't get me
[36:22] wrong the Lord still does great
[36:25] things
[36:27] but if it seems like after he's done
[36:29] he's he's done great
[36:32] things it seems like we're uh we're
[36:34] quick to forget
[36:36] him and uh we're ready to ask for
[36:39] another
[36:41] one as if he had never done
[36:45] anything so I believe that the Lord
[36:47] Jesus was in his every
[36:50] right to not give them any more
[36:54] signs uh because you know it seemed like
[36:56] like they were the ones that were trying
[36:57] to set the
[37:01] standard you know but but the only one
[37:03] that puts the standard is our lord
[37:07] Jesus standard he has for every son and
[37:10] daughter of
[37:12] God is to have
[37:15] faith that's the
[37:17] standard that's what he wants from every
[37:19] single one of
[37:21] us amen amen I want to read a quote from
[37:25] uh brother brandom
[37:28] you know when he talks about the
[37:32] voice it says the same voice that
[37:35] summoned
[37:37] John come up the same voice that said to
[37:41] John come up it's the same voice that
[37:45] will summon the church
[37:48] someday also the same voice that
[37:50] summoned John to come
[37:54] up is the same voice that summoned dead
[37:57] Lazarus out of the
[38:00] Grave it says that same voice of the
[38:05] Archangel it says Christ is the voice of
[38:08] the
[38:10] Archangel oh that trumpet voice of
[38:13] Christ summon John to come
[38:19] up the same voice that summoned
[38:23] Lazarus it says did you notice at the
[38:25] grave of Lazarus
[38:29] he spoke with a loud
[38:31] voice not just said Lazarus come
[38:35] forth he says
[38:38] Lazarus come forth you summon him from
[38:42] the
[38:44] dead and he
[38:46] answered here am I and he come from the
[38:50] dead after he was dead and his body rot
[38:55] in amen
[38:58] amen I believe we have the
[39:01] privilege uh this
[39:03] morning of being able to hear that same
[39:07] voice amen amen I believe it
[39:12] 100% I believe uh that the word of
[39:17] God spoken through a vessel of
[39:21] God is no different than the voice of
[39:23] God for this
[39:25] day
[39:27] amen amen you see because they were many
[39:30] of them were
[39:32] saying they they were saying well well
[39:34] show us a
[39:36] sign you know when the rich
[39:38] man when the rich man heard
[39:42] Jesus and Jesus asks him to do
[39:47] something he didn't quite
[39:51] hear exactly
[39:53] what what was being asked of Hima
[39:58] you see uh
[40:00] because a lot of times we don't like
[40:02] what we
[40:04] hear you know it's like we get that rich
[40:06] man
[40:09] syndrome amen amen the reason I say
[40:14] that is because there was no
[40:18] response to uh to what Jesus asked him
[40:21] to
[40:22] do you know and I believe it's a lot
[40:24] whole lot different many times
[40:28] because now we come to
[40:29] church now we hear God's
[40:33] word there's no response to the
[40:37] word there's no
[40:40] obedience to the word of God when God
[40:43] asks you to do
[40:45] something and you act like you don't
[40:47] hear
[40:48] it I want to let you
[40:51] know that there's a problem there you
[40:55] know there's a spiritual death that's
[41:00] happening you know there's a spiritual
[41:02] death that's
[41:05] happening and you know and it's it's
[41:08] it's not so much out in the
[41:10] world you know a lot of times it's here
[41:13] in the
[41:14] church a lot of times we think we're
[41:18] alive but we're dying on the church
[41:22] PE there's no
[41:25] action no
[41:27] obedience there's no
[41:33] humility but
[41:35] Jesus he didn't come just tell us what
[41:37] to
[41:39] do but he came to show us how to
[41:43] do that's right you see I don't have a
[41:47] lot of respect for
[41:49] somebody uh that tells me to do
[41:54] something and they themselves don't
[41:57] can't do
[41:58] it there's a lot of
[42:00] people that are given a
[42:03] position they're given a
[42:05] place and and they just because it was
[42:09] given to
[42:11] them they think that they could just
[42:13] order people to do
[42:18] things when they themselves don't know
[42:20] how to do
[42:22] it see I don't believe that that's a
[42:24] true leader amen
[42:27] because I'm not saying a leader has to
[42:29] know
[42:32] everything but he does have to get
[42:36] involved he has to get involved in the
[42:38] in in in things of the
[42:42] church he has to show you how to be
[42:45] humble he has to show you he has to show
[42:48] you the way of
[42:51] God because he's been put in a
[42:53] leadership
[42:55] role
[42:58] amen
[43:03] amen I mean could you
[43:08] imagine if
[43:11] Jesus had spoke you know Lazarus come
[43:16] forth and nothing would have
