date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-11,No Transcript,Oscar Moreno,01.11.2026 | Un Altar y Un Sacrificio En El Orden De Dios | Oscar Moreno & Moises Ramirez,https://www.youtube.com/watch?v=RVQf830Usrw,2026-01-11,Unknown,Church Service,"""Our mission is to be known not by how many we are or how much we have but by how much we love one another!""  Thank you for worshiping online with us! We are located in Fort Collins, CO, and we live stream every service.  Join us during the following times: Wednesdays: 7 PM (starts at 7:15 PM) Fridays: 7PM (starts at 7:15 PM) Sundays: 8:30 AM (starts at 8:45 AM) & 10:30 AM (starts at 10:45 AM)  We Believe in the full authority of the Word Of God, The Bible!  We also are grateful for a message of",0,Voice of Truth Tabernacle
2026-01-10,Success,Daniel,01.09.26 Faith is the Foundation of our Soul Bro Daniel & Bro Diego & Bro Enoch,https://www.youtube.com/watch?v=kBMCwyPzBRE,2026-01-11,Unknown,Church Service,,51,Voice of Truth Tabernacle
2026-01-07,Success,Unknown Speaker,01.07.2026 Servicio de Oracion Prayer Service,https://www.youtube.com/watch?v=xOekt0BYp8Q,2026-01-11,Unknown,Prayer Meeting,,23,Voice of Truth Tabernacle
2026-01-04,Success,Unknown Speaker,1.4.26 A Fruitful Life,https://www.youtube.com/watch?v=cO4N9CofOoc,2026-01-11,Unknown,Church Service,,,Voice of Truth Tabernacle
2026-01-04,Success,Unknown Speaker,1.4.26 The God of Order,https://www.youtube.com/watch?v=HOmEAUQZXO8,2026-01-11,Unknown,Church Service,,,Voice of Truth Tabernacle
2026-01-03,Success,Samuel Gonzalez,"1.2.25 La Fe Que Vence Al Mundo Samuel Gonzalez, Blas Lopez & Fernando Avila",https://www.youtube.com/watch?v=aPkeAizaxDU,2026-01-11,Unknown,Church Service,,62,Voice of Truth Tabernacle
2026-01-01,Success,Unknown Speaker,12.31.25 Inquebrantable- Unshakable New Year Service 2026,https://www.youtube.com/watch?v=-pbO5tV6lXE,2026-01-11,Unknown,New Year Service,,132,Voice of Truth Tabernacle
2025-12-28,Success,La Ley,12.28.25 Haciendo Valer La Ley Del Espiritu,https://www.youtube.com/watch?v=tbXIOrGxorw,2026-01-11,Unknown,Church Service,,,Voice of Truth Tabernacle
2025-12-28,Success,Misael Zavala,12.28.25 Un nuevo corazon A new heart Bro Misael Zavala,https://www.youtube.com/watch?v=FthB1gNCF84,2026-01-07,Unknown,Church Service,,50,Voice of Truth Tabernacle
2025-12-26,Success,de la,"12.26.2025 Be Not Conformed No Os Conformeis Frankie Salazar, Raphael Nuhoho, Fidel Avila",https://www.youtube.com/watch?v=DDTjUyBnKVM,2026-01-10,Unknown,Church Service,,61,Voice of Truth Tabernacle
2025-12-21,Success,Tito Moreira,"12.21.25 From Pain to Trust, From Doubt to The Promise Pastor Tito Moreira",https://www.youtube.com/watch?v=k73lWE0ihSk,2026-01-07,Unknown,Church Service,,68,Voice of Truth Tabernacle
2025-12-21,Success,Unknown Speaker,12.21.25 La Pequena Belen,https://www.youtube.com/watch?v=YtdYwAgzDjs,2026-01-11,Unknown,Church Service,,,Voice of Truth Tabernacle
2025-12-19,Success,La Carrera,12-19-2025 The Race La Carrera Riko Moreno & Abraham Galvez,https://www.youtube.com/watch?v=f7PIXhSSHzA,2026-01-10,Unknown,Church Service,,50,Voice of Truth Tabernacle
