date,status,speaker,title,url,last_checked,language,type,description
2013-03-23,Success,Unknown Speaker,Take Jesus With You,https://www.youtube.com/watch?v=8EQI0S0xnPQ,2025-12-28,Unknown,Full Sermon,
2013-03-23,Success,Unknown Speaker,What Did John Do,https://www.youtube.com/watch?v=CpEK_jn0Tks,2025-12-28,Unknown,Full Sermon,
2013-04-15,Success,Unknown Speaker,Perception of a Prophet,https://www.youtube.com/watch?v=tZf75Zu-Qc4,2025-12-28,Unknown,Full Sermon,
2014-01-05,Success,Unknown Speaker,There is a Flame Burning in the Night,https://www.youtube.com/watch?v=HJbGC1gg9EU,2025-12-28,Unknown,Full Sermon,
2020-01-05,Success,Unknown Speaker,The Comforter Has Come (Partial),https://www.youtube.com/watch?v=xYx3xhYliCU,2025-12-28,Unknown,Full Sermon,
2020-01-10,Success,Unknown Speaker,Before and After the Open Book,https://www.youtube.com/watch?v=9qD1j6ZluZI,2025-12-28,Unknown,Full Sermon,
2020-03-14,Success,Stuart Duckworth,Sunday morning service- Bro. Stuart Duckworth,https://www.youtube.com/watch?v=g8z8KviFVbQ,2025-12-28,Unknown,Full Sermon,
2020-04-08,Success,Unknown Speaker,Corinthians study part 1,https://www.youtube.com/watch?v=HbsqrB5XRG0,2025-12-28,Unknown,Full Sermon,
2020-04-08,Success,Unknown Speaker,First Corinthians Study Part 1,https://www.youtube.com/watch?v=NKUFs2UsRJY,2025-12-28,Unknown,Song / Worship,
2020-04-12,Success,Unknown Speaker,Easter Expectations,https://www.youtube.com/watch?v=S49RZjwCdSI,2025-12-28,Unknown,Full Sermon,
2020-04-15,Success,Unknown Speaker,Corinthians Study Part 2,https://www.youtube.com/watch?v=XbpeDIfeGzE,2025-12-28,Unknown,Full Sermon,
2020-04-19,Success,Ben Pruitt,"Bro. Ben Pruitt  ""Elements of the Christian Life""",https://www.youtube.com/watch?v=n9A1-Jwl1pQ,2025-12-29,Unknown,Full Sermon,
2020-04-22,Success,Unknown Speaker,Corinthians Study Part 3,https://www.youtube.com/watch?v=keWth_Cyi3o,2025-12-28,Unknown,Full Sermon,
2020-04-26,Success,Unknown Speaker,"The Abstract Part 1 ""Adam's Forfeiture""",https://www.youtube.com/watch?v=0SwzO-YrHpU,2025-12-29,Unknown,Full Sermon,
2020-04-29,Success,Unknown Speaker,First Corinthians Study Part 4,https://www.youtube.com/watch?v=WKVBnFnXd2Q,2025-12-28,Unknown,Full Sermon,
2020-05-06,Success,Unknown Speaker,A Different Kind of Touch,https://www.youtube.com/watch?v=pnUeQnfNiiU,2025-12-28,Unknown,Full Sermon,
2020-05-10,Success,Unknown Speaker,"The Abstract Part 3 ""Motherhood Changes Everything""",https://www.youtube.com/watch?v=9mVgY3i4Igc,2025-12-29,Unknown,Full Sermon,
2020-05-13,Success,Unknown Speaker,The Sin Question,https://www.youtube.com/watch?v=flFCGe1awhQ,2025-12-28,Unknown,Full Sermon,
2020-05-17,Success,Unknown Speaker,"The Abstract Part 4 ""Propitiation""",https://www.youtube.com/watch?v=kLM6oUZZPSM,2025-12-29,Unknown,Full Sermon,
2020-05-21,Success,Unknown Speaker,How to Not Become what you Hate,https://www.youtube.com/watch?v=UALNJw5KMqw,2025-12-28,Unknown,Full Sermon,
2020-05-24,Success,Unknown Speaker,"The Abstract Part 5  ""The Guarantee""",https://www.youtube.com/watch?v=oMSf7DwrFbc,2025-12-29,Unknown,Full Sermon,
2020-05-28,Success,Unknown Speaker,Great is Thy Faithfulness,https://www.youtube.com/watch?v=gh0_ocWrarY,2025-12-28,Unknown,Full Sermon,
2020-05-31,Success,Unknown Speaker,''The Abstract Part 6 Enforcing Your Rights'',https://www.youtube.com/watch?v=VJXpz3usMyQ,2025-12-28,Unknown,Full Sermon,
2020-06-03,Success,Unknown Speaker,Hope for the Future,https://www.youtube.com/watch?v=YiTpDXWNxpw,2025-12-28,Unknown,Full Sermon,
2020-06-07,Success,Unknown Speaker,God's Perfect Plan for the Church,https://www.youtube.com/watch?v=u2JORMDBZMQ,2025-12-28,Unknown,Full Sermon,
2020-06-10,Success,Unknown Speaker,Confidence,https://www.youtube.com/watch?v=FzkMOAtmcyU,2025-12-28,Unknown,Full Sermon,
2020-06-14,Success,Unknown Speaker,Why We Need the Message Today,https://www.youtube.com/watch?v=kzanicFoHxc,2025-12-28,Unknown,Full Sermon,
2020-06-17,Success,Unknown Speaker,Accountability,https://www.youtube.com/watch?v=DxD-JdfQxL8,2025-12-28,Unknown,Full Sermon,
2020-06-21,Success,Unknown Speaker,My Father's Children,https://www.youtube.com/watch?v=_QPwdtCDUas,2025-12-28,Unknown,Full Sermon,
2020-07-05,Success,Stuart Duckworth,Bro. Stuart Duckworth,https://www.youtube.com/watch?v=Zg1ZDrTmuYs,2025-12-28,Unknown,Full Sermon,
2020-07-08,Success,Unknown Speaker,The Challenge of a Lifetime,https://www.youtube.com/watch?v=akkUUPxcK38,2025-12-28,Unknown,Full Sermon,
2020-07-12,Success,Unknown Speaker,Do You Want to be Well?,https://www.youtube.com/watch?v=H4pR1TCPAno,2025-12-29,Unknown,Full Sermon,
2020-07-12,Success,Unknown Speaker,Washed by the Word,https://www.youtube.com/watch?v=ZCxeqNO_ogU,2025-12-28,Unknown,Full Sermon,
2020-07-19,Success,Unknown Speaker,I Will Take the Cup,https://www.youtube.com/watch?v=Tbob73NraIg,2025-12-28,Unknown,Full Sermon,
2020-07-19,Success,Unknown Speaker,The Houses Where You Are,https://www.youtube.com/watch?v=1O3UHfalCUQ,2025-12-28,Unknown,Full Sermon,
2020-07-22,Success,Ben Pruitt,''Prayer and the Open Book'' Bro. Ben Pruitt,https://www.youtube.com/watch?v=MtuRVevAkEo,2025-12-28,Unknown,Full Sermon,
2020-07-26,Success,Unknown Speaker,Who is Worthy?,https://www.youtube.com/watch?v=i30UpYuUmJM,2025-12-29,Unknown,Full Sermon,
2020-07-28,Success,Unknown Speaker,"""Corinthians Study Pt. 5""",https://www.youtube.com/watch?v=tuIfUx_O3zA,2025-12-29,Unknown,Full Sermon,
2020-07-29,Success,Braden Savage,Bro. Braden Savage,https://www.youtube.com/watch?v=9t4JlMHcaqE,2025-12-28,Unknown,Full Sermon,
2020-08-02,Success,Unknown Speaker,''Who is Worthy'' Pt. 2 ''A Worthy Widow'',https://www.youtube.com/watch?v=JhMERxg_0Do,2025-12-28,Unknown,Full Sermon,
2020-08-04,Success,Unknown Speaker,Corinthians Study Part 6,https://www.youtube.com/watch?v=h2NGn1T7UlA,2025-12-28,Unknown,Full Sermon,
2020-08-05,Success,Unknown Speaker,The Birth of the Word,https://www.youtube.com/watch?v=jm0iinicHrs,2025-12-28,Unknown,Full Sermon,
2020-08-09,Success,Unknown Speaker,test,https://www.youtube.com/watch?v=6YRyiIztIT4,2025-12-28,Unknown,Full Sermon,
2020-08-12,Success,Alan Price,Bro. Alan Price,https://www.youtube.com/watch?v=2QuZdOKM_SI,2025-12-28,Unknown,Full Sermon,
2020-08-16,Success,Unknown Speaker,No Broken Bones,https://www.youtube.com/watch?v=b69hIXpKaYI,2025-12-28,Unknown,Full Sermon,
2020-08-18,Success,Unknown Speaker,"""Corinthians Study Pt. 7""",https://www.youtube.com/watch?v=M_ZEJO7ID7o,2025-12-29,Unknown,Full Sermon,
2020-08-19,Success,Unknown Speaker,"Sheep, Wolves, Serpents and Doves",https://www.youtube.com/watch?v=o80DZKjmOWA,2025-12-28,Unknown,Full Sermon,
2020-08-25,Success,Unknown Speaker,Corinthians Study Part 8,https://www.youtube.com/watch?v=0yOvjtuJOSA,2025-12-28,Unknown,Full Sermon,
2020-09-02,Success,Stuart Duckworth,Bro. Stuart Duckworth,https://www.youtube.com/watch?v=AwvWOocdqpY,2025-12-28,Unknown,Full Sermon,
2020-09-06,Success,Darrell Ward,Bro. Darrell Ward,https://www.youtube.com/watch?v=Taeum-T65Ew,2025-12-28,Unknown,Full Sermon,
2020-09-06,Success,Darrell Ward,"Bro. Darrell Ward ""Chosen to be a Soldier""",https://www.youtube.com/watch?v=tauacWShuUA,2025-12-29,Unknown,Full Sermon,
2020-09-09,Success,Unknown Speaker,"Corinthians Study Part 9 ""Ministers and Stewards""",https://www.youtube.com/watch?v=nMl4fFGkxno,2025-12-29,Unknown,Full Sermon,
2020-09-13,Success,Unknown Speaker,What is God Doing Today?,https://www.youtube.com/watch?v=zKpn3NiODxo,2025-12-29,Unknown,Full Sermon,
2020-09-16,Success,Unknown Speaker,"Corinthians Study Part 10 ""Sincerity and Truth""",https://www.youtube.com/watch?v=xqGZH1Xo1Xc,2025-12-29,Unknown,Full Sermon,
2020-09-20,Success,Unknown Speaker,To Make Him King,https://www.youtube.com/watch?v=cFgPyEBTee8,2025-12-28,Unknown,Full Sermon,
2020-09-27,Success,Unknown Speaker,Bringing the Word to Life,https://www.youtube.com/watch?v=Q5sg-kHBgcM,2025-12-28,Unknown,Full Sermon,
