date,status,speaker,title,url,last_checked,language,type
2025-12-21,No Transcript,Wayne Lawson,"Brother Wayne Lawson ""The Blood Of The New Covenant""",https://www.youtube.com/watch?v=KrZiR0LEsW8,2025-12-24,Unknown,Full Sermon
2025-12-21,Success,Wayne Lawson,"Brother Wayne Lawson ""Unlocking Spiritual Gene Expression""",https://www.youtube.com/watch?v=Hoyivhbwx_g,2025-12-24,English,Full Sermon
2025-12-20,Success,Wayne Lawson,"Brother Wayne Lawson ""The Effective Revelation of Melchisedec""",https://www.youtube.com/watch?v=PJ5vM5DtCfw,2025-12-24,English,Full Sermon
2025-12-14,No Transcript,Shawn Martin,"Pastor Shawn Martin ""Doing Our Best For The Lord"" Pt. 5",https://www.youtube.com/watch?v=JmJR4DSqTKo,2025-12-24,Unknown,Full Sermon
2025-12-11,Success,Shawn Martin,"Pastor Shawn Martin ""Doing Our Best For The Lord"" Pt. 4",https://www.youtube.com/watch?v=-5p12mvuK7o,2025-12-24,English,Full Sermon
2025-12-07,Success,Shawn Martin,"Pastor Shawn Martin ""Doing Our Best For The Lord"" Pt. 3",https://www.youtube.com/watch?v=blYL3A4JacU,2025-12-24,English,Full Sermon
2025-12-04,Success,Shawn Martin,"Pastor Shawn Martin ""Doing Our Best For The Lord"" Pt. 2",https://www.youtube.com/watch?v=syd4uRzsry4,2025-12-24,English,Full Sermon
2025-11-30,Success,Shawn Martin,"Pastor Shawn Martin ""Doing Our Best For The Lord"" Pt. 1",https://www.youtube.com/watch?v=ee8x2UWuc_8,2025-12-24,English,Full Sermon
2025-11-23,Success,Shawn Martin,"Pastor Shawn Martin ""Commission To Preach The Gospel With Signs Following"" PT. 2",https://www.youtube.com/watch?v=x3_mOY0MqEA,2025-12-24,English,Full Sermon
2025-11-20,No Transcript,Shawn Martin,"Pastor Shawn Martin ""Entertaining Jesus In This Age""",https://www.youtube.com/watch?v=hmncul9Wz2U,2025-12-24,Unknown,Full Sermon
2025-11-16,No Transcript,Wendall Martin,"Brother Wendall Martin ""A Treasure In Earthen Vessels""",https://www.youtube.com/watch?v=u1oZO0DAqFA,2025-12-24,Unknown,Full Sermon
2025-11-13,No Transcript,Daniel Martin,"Brother Daniel Martin ""Faith By Experience""",https://www.youtube.com/watch?v=rTlLNoiv7cE,2025-12-24,Unknown,Full Sermon
2025-11-09,Success,Shawn Martin,"Pastor Shawn Martin ""Commissioned To Preach The Gospel With Signs Following""",https://www.youtube.com/watch?v=aHHt1RrtDu8,2025-12-24,English,Full Sermon
2025-11-02,Success,Josh Martin,"Brother Josh Martin ""Elected Strangers""",https://www.youtube.com/watch?v=cevHLxDmeUc,2025-12-24,English,Full Sermon
2025-10-30,Success,Shawn Martin,"Pastor Shawn Martin ""The Supreme Authority Of The Word""",https://www.youtube.com/watch?v=yyqC_WCaMw0,2025-12-24,English,Full Sermon
2025-10-26,Success,Daniel Martin,"Brother Daniel Martin ""Victory Belongs to You""",https://www.youtube.com/watch?v=SEkltPquVMQ,2025-12-24,English,Full Sermon
2025-10-23,Success,Shawn Martin,"Pastor Shawn Martin  ""There Is A Place Prepared For Me"" Pt. 3",https://www.youtube.com/watch?v=0Tef_yX7lWU,2025-12-24,English,Full Sermon
2025-10-16,Success,Shawn Martin,"Pastor Shawn Martin ""There Is A Place Prepared For Me"" Pt. 2",https://www.youtube.com/watch?v=fV59qMrKFFE,2025-12-24,English,Full Sermon
2025-10-12,Success,Terry Horn,"Brother Terry Horn ""The Silent Voice of Revelation""",https://www.youtube.com/watch?v=wqINcgZoE84,2025-12-24,English,Full Sermon
2025-10-09,Success,Shawn Martin,"Pastor Shawn Martin ""There's A Place Prepared For Me""",https://www.youtube.com/watch?v=ofF4_491XIs,2025-12-24,English,Full Sermon
2025-10-05,Success,Shawn Martin,"Pastor Shawn Martin ""A Separated People Unto The Lord"" Pt. 8",https://www.youtube.com/watch?v=NswCgdKBZjI,2025-12-24,English,Full Sermon
2025-10-02,Success,Shawn Martin,"Pastor Shawn Martin ""The Spirit Of Grace Is Upon Us""",https://www.youtube.com/watch?v=EFwZm63lyI4,2025-12-24,English,Full Sermon
