church,date,title,url,from_speaker,to_speaker,reason
Malachi Four Tabernacle,2016-05-29,The Fountain Of Living Waters Pt.2- Exhortation La Fuente De Aguas Vivas Pt.2- Exhortación,https://www.youtube.com/watch?v=2dGXe4SXGwI,Diego Arroyo John,Diego Arroyo,smart_correction
Malachi Four Tabernacle,2016-06-12,Light is sprung up  Luz les resplandeció,https://www.youtube.com/watch?v=QGjWzrG63ks,Diego Arroyo Isa,Diego Arroyo,smart_correction
Malachi Four Tabernacle,2016-04-10,Ezekiel's 7th Seal Vision Pt 3 La Vision de Ezequiel del 7mo Sello  Pt 3,https://www.youtube.com/watch?v=_T05Dx3EaEU,Diego Arroyo Ezekiel,Diego Arroyo,smart_correction
Malachi Four Tabernacle,2016-04-03,The Prophetic Class La Clase Profética Pt 2,https://www.youtube.com/watch?v=Hzx63tWqRzA,Diego Arroyo The Strength,Diego Arroyo,smart_correction
Faith Tabernacle,2025-07-06,Pastor Shawn martin Holiness,https://www.youtube.com/watch?v=h9W0O_plYr0,A People Separated Unto God,A People Separated Unto,smart_correction
Faith Tabernacle,2025-07-20,Pastor Shawn Martin Holiness,https://www.youtube.com/watch?v=JFSdPzC-5Yk,A People Separated Unto The Lord pt. 2,A People Separated Unto The,smart_correction
Jericho Tabernacle,2023-05-18,2023-0517,https://www.youtube.com/watch?v=Q0lyjEcTLF4,60-1207 The Pergamean Church Age,Unknown Speaker,smart_correction
Jericho Tabernacle,2025-10-18,The Revelation Of Faith,https://www.youtube.com/watch?v=vYr9usCt6uY,"Bro. Jorge Isaac Osorio, Jr.","Jorge Isaac Osorio, Jr",smart_correction
Jericho Tabernacle,2024-02-03,2024-0202 Seasons Of Tension,https://www.youtube.com/watch?v=GGvtVMyZxhg,"Bro. Nicolas Castillo From Bayard, NM",Nicolas Castillo From Bayard,smart_correction
Jericho Tabernacle,2021-04-25,2021-0425 The Invisible Union Of The Bride Of Christ 3 (Dry Bones),https://www.youtube.com/watch?v=Nmk9oSnPY_s,Bro. Luis Aguilar,Luis Aguilar,smart_correction
Jericho Tabernacle,2023-06-17,2023-0616 Testimonio,https://www.youtube.com/watch?v=-fTiKba6ezM,Hna. Genoveva Dominguez,Genoveva Dominguez,smart_correction
Jericho Tabernacle,2025-09-22,Los Oficios De Dios En Hombres En La Iglesia #5 (El Ministerio),https://www.youtube.com/watch?v=qpYfHYrAcJM,Hno. Juanito Saucedo,Juanito Saucedo,smart_correction
Jericho Tabernacle,2024-01-08,2024-0107 Adoption #2,https://www.youtube.com/watch?v=LHaRv5_oTn4,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2024-01-08,2024-0107 Adoption 2,https://www.youtube.com/watch?v=LHaRv5_oTn4,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2025-12-08,Levels Of Faith (Shall He Find Faith On Earth),https://www.youtube.com/watch?v=Y99suLAZ30U,Bro. Esteban Borunda,Esteban Borunda,smart_correction
Jericho Tabernacle,2024-10-12,2024-1011 Read Yourself In It! God So Loved...,https://www.youtube.com/watch?v=3puhmURyouE,Bro. Esteban Borunda,Esteban Borunda,smart_correction
Jericho Tabernacle,2022-12-30,2022-1230  El Resentimiento,https://www.youtube.com/watch?v=e6v3kjXTqV4,Hno. Ovidio Zamora,Ovidio Zamora,smart_correction
Jericho Tabernacle,2020-03-04,2020-0301 The Supreme Judge,https://www.youtube.com/watch?v=6qP2EHGKfdU,Bro. John G. Alvarado,John G. Alvarado,smart_correction
Jericho Tabernacle,2024-08-17,2024-0816,https://www.youtube.com/watch?v=kib0YL3O1hE,2024 Jericho Tabernacle Church Camp,Unknown Speaker,smart_correction
Jericho Tabernacle,2025-09-08,El Año Del Jubileo 35 (Israel En Su Patria 27),https://www.youtube.com/watch?v=eJ__Lu2gHRs,Hno. Emmanuel Santos,Emmanuel Santos,smart_correction
Jericho Tabernacle,2021-04-21,2021- 0421,https://www.youtube.com/watch?v=S1stgOoewA4,64-0726M Recognizing Your Day And Its Message,64-0726M Recognizing Your Day And,smart_correction
Jericho Tabernacle,2020-04-23,2020-0422,https://www.youtube.com/watch?v=YNNP9ei1srs,65-0426 Proving His Word (pt 1),65-0426 Proving His Word,smart_correction
Jericho Tabernacle,2019-12-24,2019-1220 Joshua and The Battle of Jericho,https://www.youtube.com/watch?v=EltTjR6Zqh0,Youth Drama,Youth,smart_correction
Jericho Tabernacle,2020-04-08,2020-0408,https://www.youtube.com/watch?v=Pw6CNCmKxWg,65-0725M The Anointed Ones At The End Time,65-0725M The Anointed Ones,smart_correction
Jericho Tabernacle,2023-01-29,2023-0129 Agapo #3 (Standing In The Gap),https://www.youtube.com/watch?v=R8O42vO5ILs,"Bro. Marcos Santana, Jr.","Marcos Santana, Jr",smart_correction
Jericho Tabernacle,2022-11-11,2022-1111 Nature,https://www.youtube.com/watch?v=jJVkzJDx-qM,"Bro. Mark Castillo, Pastor In Bayard, New Mexico",Mark Castillo,smart_correction
Jericho Tabernacle,2020-09-30,2020-0930,https://www.youtube.com/watch?v=SWbsJhzJ2xY,62-1013 The Influence of Another,62-1013 The Influence,smart_correction
Jericho Tabernacle,2025-09-01,Sanidad Divina ( Y Del Alma),https://www.youtube.com/watch?v=FFl3-V55OtI,Hno. Juanito Saucedo,Juanito Saucedo,smart_correction
Jericho Tabernacle,2020-01-12,2020-0110 No Seas Conformista,https://www.youtube.com/watch?v=LFSiT1okHeE,Hno. Juan Ponce,Juan Ponce,smart_correction
Jericho Tabernacle,2023-06-18,2023-0618 The Man (Father's Day),https://www.youtube.com/watch?v=-Ojntxps6yk,Pastor Octavio Ordoñez,Octavio Ordoñez,smart_correction
Jericho Tabernacle,2025-02-27,"2025-0226- 62-1230E Is This The Sign Of The End, Sir",https://www.youtube.com/watch?v=DxHkggdXn2c,Rev. William M. Branham,William M. Branham,smart_correction
Jericho Tabernacle,2022-03-30,2022-0330,https://www.youtube.com/watch?v=ZqCVS_T8ayg,63-0623M Standing In The Gap,63-0623M Standing,smart_correction
