from_speaker,to_speaker,count
Pastor Theo Ovid,Theo Ovid,383
Sunday Morning,Unknown Speaker,216
Bro. Stephen Shembo,Stephen Shembo,201
Apostle Bernie,Bernie,150
Bro. Paul LaFontaine,Paul LaFontaine,133
Wednesday Evening,Unknown Speaker,126
Pastor Bernabé G. García,Bernabé G. García,96
Hno. Emmanuel Santos,Emmanuel Santos,92
Bro. Isaac Ovid,Isaac Ovid,86
"Bro. Theo Ovid, Headstone Tabernacle","Theo Ovid, Headstone",73
"Bro. Isaac Ovid, Headstone Tabernacle","Isaac Ovid, Headstone",65
Bro Stephen Shembo,Stephen Shembo,59
Bro. Anthony O'Brien,Anthony OBrien,57
Pastor John Simon,John Simon,55
Pastor Octavio Ordoñez,Octavio Ordoñez,53
Bro. Luis Aguilar,Luis Aguilar,43
Pastor Danny Mazzilli,Danny Mazzilli,39
Pastor Dr. Ernest R. Montoya,Ernest R. Montoya,39
"Pastor Theo Ovid, Headstone Tabernacle","Theo Ovid, Headstone",39
Bro Bloteh Won,Bloteh Won,37
2,Unknown Speaker,36
"Bro. Anthony O'Brien, Headstone Tabernacle","Anthony OBrien, Headstone",35
Sunday Morning Service,Unknown Speaker,35
Bro. Glenn Kelly,Glenn Kelly,33
Bro. Gideon Ovid,Gideon Ovid,32
Bro. Ron Peterson,Ron Peterson,32
Bro. Tim Pruitt,Tim Pruitt,30
Chad Lamb Tape Service,Chad Lamb,30
Part 1,Unknown Speaker,30
Part 2,Unknown Speaker,30
The Token Life,The,30
Associate Pastor Carlos E. Torres,Associate,29
Rev. William Marrion Branham,William M. Branham,29
Bro. Eliezer Castillo,Eliezer Castillo,28
Bro John G Alvarado,John G Alvarado,27
Evening Light Fellowship Live Service,Unknown Speaker,27
Bro. Rapp Crook,Rapp Crook,25
Hno. Juanito Saucedo,Juanito Saucedo,24
Bro Paul Haylett,Paul Haylett,23
Bro. Paul Haylett,Paul Haylett,23
Pastor Ibale Stephen,Ibale Stephen,23
Bro Ben Gloyne,Ben Gloyne,22
Chad Lamb Religion Versus Relationship,Chad Lamb,22
Bro. Eliseo Moreno,Eliseo Moreno,21
Bro Ron Peterson,Ron Peterson,20
Bro. Jack Duff,Jack Duff,20
Unknown Speaker,Bernabé G. García,20
3,Unknown Speaker,19
Apostle Pastor Bernie G. Garcia,Bernie G. Garcia,19
Pastor Isiah Brooks,Isiah brooks,19
Prophet William Branham,William M. Branham,19
Bro. Andrew Glover,Andrew Glover,18
Bro. Samuel Browning,Samuel Browning,18
Rev. William M. Branham,William M. Branham,18
Bro. Timothy Pruitt,Timothy Pruitt,17
Part 1 Pastor Steven L. Shelley,Unknown Speaker,17
Past Isiah Brooks,Isiah brooks,17
Unknown Speaker,de la,17
Bro. Eleazar Ruiz,Eleazar Ruiz,16
Bro. Kidri Diggs,Kidri Diggs,16
Associate Pastor Javier Villa Jr.,Associate,15
Associate Pastor Luis Aguilar,Associate,15
Bro. Brandyn Sinacola,Brandyn Sinacola,15
Bro. Emmanuel Santos,Emmanuel Santos,15
Bro. Mario Chua,Mario Chua,15
Bro. Polycarpe Omambo,Polycarpe Omambo,15
Bro. Steven McNeilly,Steven McNeilly,15
Bro. Timothy Pruitt at Evening Light Tabernacle,Timothy Pruitt,15
Pastor Tim Pruitt,Tim Pruitt,15
Bro Busobozi Talemwa,Busobozi Talemwa,14
Bro. Elier Aguilera,Elier Aguilera,14
Bro. Joe Adams,Joe Adams,14
Hno. Juan Saucedo,Juan Saucedo,14
Pastor Israel Powe,Israel Powe,14
Pastor Tito Moreira,Tito Moreira,14
Sunday Afternoon,Unknown Speaker,14
Unknown Speaker,Min. Isaac Adude,14
Bro. Aaron Oglesby,Aaron Oglesby,13
"Bro. Marcos Santana, Jr.","Marcos Santana, Jr",13
"Asso. Pastor, Carlos Torres","Asso., Carlos Torres",12
Benjamin Seabolt The Pride of Life,Benjamin Seabolt,12
Bro. Barry,Barry,12
Bro. Martin Mulumba,Martin Mulumba,12
Bro. Stephen Olliviere,Stephen Olliviere,12
