status,summary_file,date,title,church,summary_speaker,detected_speaker,redetected_try2,video_url
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-12-21,Embracing Deity,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=aa-4FgsM_O4
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-12-19,Love's Confidence 2,,Samuel Browning (Part 2),Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=tlSw10G1vn8
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-12-19,Love's Confidence 2,,Samuel Browning (Part 1),Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=NMPZxq4QDfo
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-12-07,A People for His Name,,Bro. Josh Martin,Josh Martin,Josh Martin,https://www.youtube.com/watch?v=NWCnQJRM0sw
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-10-12,Fully Consecrated to the Word by the Spirit,,3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Ps9_NKKjllE
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-10-05,Fully Consecrated to the Word by the Spirit,,2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=wrL8TdJGV7M
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-10-02,Becoming Love,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=hGYq_IyVxgQ
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-21,Fully Consecrated to The Word by The Spirit,,1 -Samuel Browning,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=Hu67fuSAlfA
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-18,Pursuing the Right Thing,,Part 4,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=9SlMPsvCm4E
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-14,Redeemed to Serve His Purpose,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=pqrkJEat4J0
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-11,Pursuing the Right Thing,,Part 3,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=9RjP5UK5DNM
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-07,Redeemed to Serve His Purpose,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=SHz6yqZUSqk
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-09-05,Pursuing the Right Thing,,Part 2,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=kH9h5arSi7k
ErroneousLabel,Believer's_Spoken_Word_Tabernacle_Summary.csv,2025-08-28,Pursuing the Right Thing,,Part 1,Samuel Browning,Samuel Browning,https://www.youtube.com/watch?v=ToxKVlV-Fbw
