date,status,speaker,title,url,last_checked,language,type,description,duration,church,source_file
2025-11-23,No Transcript,William Borlovan,"""Perfect Love Casts Out All Fear "" - Bro. William Borlovan on November 23rd, 2025",https://www.youtube.com/watch?v=wLVkY3ybYTE,2026-01-05,Unknown,Full Sermon,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",151,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-10-25,Success,William Borlovan,You Must be Born Again,https://www.youtube.com/watch?v=oBfKvG6dCBo,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-09-21,Success,Joe Adams,The Mystery of His Will,https://www.youtube.com/watch?v=fSs6iTR8XeQ,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-09-20,Success,Joe Adams,Thou Art My Hiding Place,https://www.youtube.com/watch?v=A52R3n9mTP8,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-08-02,Success,William Borlovan,What is The Message,https://www.youtube.com/watch?v=DOO2Qswmju0,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-05-31,Success,William Borlovan,Perfect Faith With A Broken Heart,https://www.youtube.com/watch?v=IMz-slF7zT8,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2025-04-19,Success,William Borlovan,The Unveiled Mercy Seat,https://www.youtube.com/watch?v=PshliCCXTP4,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2024-11-23,No Transcript,William Borlovan,"""A Bruised Heel"" - Bro. William Borlovan on November 23, 2024",https://www.youtube.com/watch?v=yWXj1lEv0lI,2026-01-05,Unknown,Full Sermon,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",135,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2024-08-03,No Transcript,William Borlovan,"Bro William Borlovan August 3, 2024 - ""Sovereign Grace Taking It's Place""",https://www.youtube.com/watch?v=yslRwNroR0o,2026-01-05,Unknown,Full Sermon,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",121,Full Gospel Lighthouse Tabernacle,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
2024-04-20,Success,William Borlovan,"Bro. William Borlovan April 20, 2024",https://www.youtube.com/watch?v=EvaWfe4IlfA,2026-01-05,Unknown,Full Sermon,,,,Full_Gospel_Lighthouse_Tabernacle_Summary.csv
